liga,grupo,posicao,time,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos
AFC Asian Cup,"AFC Asian Cup 2027, Group A",1,Kuwait,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group A",2,Oman,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group A",3,Palestine,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group A",4,Saudi Arabia,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group B",1,Bahrain,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group B",2,Jordan,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group B",3,North Korea,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group B",4,Uzbekistan,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group C",1,China,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group C",2,Iran,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group C",3,Kyrgyzstan,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group C",4,Syria,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group D",1,Australia,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group D",2,Iraq,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group D",3,Singapore,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group D",4,Tajikistan,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group E",1,South Korea,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group E",2,United Arab Emirates,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group E",3,Vietnam,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group F",1,Indonesia,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group F",2,Japan,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group F",3,Qatar,0,0,0,0,0,0,,0
AFC Asian Cup,"AFC Asian Cup 2027, Group F",4,Thailand,0,0,0,0,0,0,,0
Africa Cup of Nations,Group A,1,Morocco,3,2,1,0,6,1,,7
Africa Cup of Nations,Group A,2,Mali,3,0,3,0,2,2,,3
Africa Cup of Nations,Group A,3,Comoros,3,0,2,1,0,2,,2
Africa Cup of Nations,Group A,4,Zambia,3,0,2,1,1,4,,2
Africa Cup of Nations,Group B,1,Egypt,3,2,1,0,3,1,,7
Africa Cup of Nations,Group B,2,South Africa,3,2,0,1,5,4,,6
Africa Cup of Nations,Group B,3,Angola,3,0,2,1,2,3,,2
Africa Cup of Nations,Group B,4,Zimbabwe,3,0,1,2,4,6,,1
Africa Cup of Nations,Group C,1,Nigeria,3,3,0,0,8,4,,9
Africa Cup of Nations,Group C,2,Tunisia,3,1,1,1,6,5,,4
Africa Cup of Nations,Group C,3,Tanzania,3,0,2,1,3,4,,2
Africa Cup of Nations,Group C,4,Uganda,3,0,1,2,3,7,,1
Africa Cup of Nations,Group D,1,Senegal,3,2,1,0,7,1,,7
Africa Cup of Nations,Group D,2,DR Congo,3,2,1,0,5,1,,7
Africa Cup of Nations,Group D,3,Benin,3,1,0,2,1,4,,3
Africa Cup of Nations,Group D,4,Botswana,3,0,0,3,0,7,,0
Africa Cup of Nations,Group E,1,Algeria,3,3,0,0,7,1,,9
Africa Cup of Nations,Group E,2,Burkina Faso,3,2,0,1,4,2,,6
Africa Cup of Nations,Group E,3,Sudan,3,1,0,2,1,5,,3
Africa Cup of Nations,Group E,4,Equatorial Guinea,3,0,0,3,2,6,,0
Africa Cup of Nations,Group F,1,Côte d'Ivoire,3,2,1,0,5,3,,7
Africa Cup of Nations,Group F,2,Cameroon,3,2,1,0,4,2,,7
Africa Cup of Nations,Group F,3,Mozambique,3,1,0,2,4,5,,3
Africa Cup of Nations,Group F,4,Gabon,3,0,0,3,4,7,,0
Africa Cup of Nations,Third-placed teams,1,Mozambique,3,1,0,2,4,5,,3
Africa Cup of Nations,Third-placed teams,2,Benin,3,1,0,2,1,4,,3
Africa Cup of Nations,Third-placed teams,3,Sudan,3,1,0,2,1,5,,3
Africa Cup of Nations,Third-placed teams,4,Tanzania,3,0,2,1,3,4,,2
Africa Cup of Nations,Third-placed teams,5,Angola,3,0,2,1,2,3,,2
Africa Cup of Nations,Third-placed teams,6,Comoros,3,0,2,1,0,2,,2
CONCACAF Gold Cup,Group A,1,Mexico,3,2,1,0,5,2,,7
CONCACAF Gold Cup,Group A,2,Costa Rica,3,2,1,0,6,4,,7
CONCACAF Gold Cup,Group A,3,Dominican Republic,3,0,1,2,3,5,,1
CONCACAF Gold Cup,Group A,4,Suriname,3,0,1,2,3,6,,1
