time_referencia,competicao,pais_competicao,data_jogo,time_casa,time_fora,jogo,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias
Algeria,group-stage,World,2026-06-28 02:00:00,Algeria,Austria,Algeria x Austria,3 x 3,4-2-3-1,4-2-3-1,Oussama Benbot | Ramy Bensebaini | Aïssa Mandi | Jaouen Hadjam | Rafik Belghali | Ibrahim Maza | Nabil Bentaleb | Farès Chaïbi | Amine Gouiri | Houssem Aouar | Riyad Mahrez,Alexander Schlager | David Alaba | Philipp Lienhart | Phillipp Mwene | Stefan Posch | Romano Schmid | Xaver Schlager | Nicolas Seiwald | Marko Arnautovic | Marcel Sabitzer | Konrad Laimer,[FORA] 45' Michael Gregoritsch entrou no lugar de Marko Arnautovic | [FORA] 45' Florian Grillitsch entrou no lugar de Xaver Schlager | [FORA] 45' Paul Wanner entrou no lugar de Romano Schmid | [FORA] 62' Kevin Danso entrou no lugar de David Alaba | [CASA] 71' Rayan Aït-Nouri entrou no lugar de Jaouen Hadjam | [CASA] 71' Zineddine Belaïd entrou no lugar de Amine Gouiri | [CASA] 71' Samir Chergui entrou no lugar de Rafik Belghali | [CASA] 90'+4' Farès Ghedjemis entrou no lugar de Houssem Aouar | [FORA] 90'+5' Sasa Kalajdzic entrou no lugar de Phillipp Mwene,[FORA] 28' Marko Arnautovic | [CASA] 45' Rafik Belghali | [FORA] 55' Marcel Sabitzer | [CASA] 60' Riyad Mahrez | [CASA] 90'+3' Riyad Mahrez | [FORA] 90'+6' Sasa Kalajdzic,[FORA] 28' David Alaba -> Marko Arnautovic | [FORA] 55' Konrad Laimer -> Marcel Sabitzer | [CASA] 60' Houssem Aouar -> Riyad Mahrez | [CASA] 90'+3' Houssem Aouar -> Riyad Mahrez | [FORA] 90'+6' Michael Gregoritsch -> Sasa Kalajdzic
Jordan,group-stage,World,2026-06-28 02:00:00,Jordan,Argentina,Jordan x Argentina,1 x 3,3-4-2-1,4-4-2,Yazeed Abulaila | Yazan Al-Arab | Husam Abu Dahab | Abdallah Nasib | Noor Al-Rawabdeh | Nizar Al-Rashdan | Mohannad Abu Taha | Ehsan Haddad | Odeh Fakhoury | Ali Olwan | Ali Azaizeh,Emiliano Martínez | Marcos Senesi | Nicolás Otamendi | Nicolás Tagliafico | Exequiel Palacios | Leandro Paredes | Nico Paz | Giovani Lo Celso | Giuliano Simeone | Julián Álvarez | Lautaro Martínez,[CASA] 45' Mahmoud Al-Mardi entrou no lugar de Odeh Fakhoury | [CASA] 45' Mousa Al-Tamari entrou no lugar de Ali Azaizeh | [FORA] 60' Thiago Almada entrou no lugar de Giovani Lo Celso | [FORA] 60' Lionel Messi entrou no lugar de Lautaro Martínez | [FORA] 61' Alexis Mac Allister entrou no lugar de Nico Paz | [FORA] 71' Valentín Barco entrou no lugar de Giuliano Simeone | [CASA] 76' Amer Jamous entrou no lugar de Nizar Al-Rashdan | [FORA] 82' José Manuel López entrou no lugar de Julián Álvarez | [CASA] 90' Mohammed Abu Zraiq entrou no lugar de Ali Olwan | [CASA] 90' Saleem Obaid entrou no lugar de Husam Abu Dahab,[FORA] 19' Giovani Lo Celso | [CASA] 55' Mousa Al-Tamari | [FORA] 80' Lionel Messi,[CASA] 55' Ehsan Haddad -> Mousa Al-Tamari
Argentina,group-stage,World,2026-06-28 02:00:00,Jordan,Argentina,Jordan x Argentina,1 x 3,3-4-2-1,4-4-2,Yazeed Abulaila | Yazan Al-Arab | Husam Abu Dahab | Abdallah Nasib | Noor Al-Rawabdeh | Nizar Al-Rashdan | Mohannad Abu Taha | Ehsan Haddad | Odeh Fakhoury | Ali Olwan | Ali Azaizeh,Emiliano Martínez | Marcos Senesi | Nicolás Otamendi | Nicolás Tagliafico | Exequiel Palacios | Leandro Paredes | Nico Paz | Giovani Lo Celso | Giuliano Simeone | Julián Álvarez | Lautaro Martínez,[CASA] 45' Mahmoud Al-Mardi entrou no lugar de Odeh Fakhoury | [CASA] 45' Mousa Al-Tamari entrou no lugar de Ali Azaizeh | [FORA] 60' Thiago Almada entrou no lugar de Giovani Lo Celso | [FORA] 60' Lionel Messi entrou no lugar de Lautaro Martínez | [FORA] 61' Alexis Mac Allister entrou no lugar de Nico Paz | [FORA] 71' Valentín Barco entrou no lugar de Giuliano Simeone | [CASA] 76' Amer Jamous entrou no lugar de Nizar Al-Rashdan | [FORA] 82' José Manuel López entrou no lugar de Julián Álvarez | [CASA] 90' Mohammed Abu Zraiq entrou no lugar de Ali Olwan | [CASA] 90' Saleem Obaid entrou no lugar de Husam Abu Dahab,[FORA] 19' Giovani Lo Celso | [CASA] 55' Mousa Al-Tamari | [FORA] 80' Lionel Messi,[CASA] 55' Ehsan Haddad -> Mousa Al-Tamari
Austria,group-stage,World,2026-06-28 02:00:00,Algeria,Austria,Algeria x Austria,3 x 3,4-2-3-1,4-2-3-1,Oussama Benbot | Ramy Bensebaini | Aïssa Mandi | Jaouen Hadjam | Rafik Belghali | Ibrahim Maza | Nabil Bentaleb | Farès Chaïbi | Amine Gouiri | Houssem Aouar | Riyad Mahrez,Alexander Schlager | David Alaba | Philipp Lienhart | Phillipp Mwene | Stefan Posch | Romano Schmid | Xaver Schlager | Nicolas Seiwald | Marko Arnautovic | Marcel Sabitzer | Konrad Laimer,[FORA] 45' Michael Gregoritsch entrou no lugar de Marko Arnautovic | [FORA] 45' Florian Grillitsch entrou no lugar de Xaver Schlager | [FORA] 45' Paul Wanner entrou no lugar de Romano Schmid | [FORA] 62' Kevin Danso entrou no lugar de David Alaba | [CASA] 71' Rayan Aït-Nouri entrou no lugar de Jaouen Hadjam | [CASA] 71' Zineddine Belaïd entrou no lugar de Amine Gouiri | [CASA] 71' Samir Chergui entrou no lugar de Rafik Belghali | [CASA] 90'+4' Farès Ghedjemis entrou no lugar de Houssem Aouar | [FORA] 90'+5' Sasa Kalajdzic entrou no lugar de Phillipp Mwene,[FORA] 28' Marko Arnautovic | [CASA] 45' Rafik Belghali | [FORA] 55' Marcel Sabitzer | [CASA] 60' Riyad Mahrez | [CASA] 90'+3' Riyad Mahrez | [FORA] 90'+6' Sasa Kalajdzic,[FORA] 28' David Alaba -> Marko Arnautovic | [FORA] 55' Konrad Laimer -> Marcel Sabitzer | [CASA] 60' Houssem Aouar -> Riyad Mahrez | [CASA] 90'+3' Houssem Aouar -> Riyad Mahrez | [FORA] 90'+6' Michael Gregoritsch -> Sasa Kalajdzic
Colombia,group-stage,World,2026-06-27 23:30:00,Colombia,Portugal,Colombia x Portugal,0 x 0,4-3-3,4-2-3-1,Camilo Vargas | Jhon Lucumí | Davinson Sánchez | Deiver Machado | Santiago Arias | Jefferson Lerma | Gustavo Puerta | Jhon Arias | Jhon Córdoba | Luis Díaz | James Rodríguez,Diogo Costa | Renato Veiga | Rúben Dias | Nuno Mendes | João Cancelo | Bruno Fernandes | Vitinha  | Rúben Neves | Cristiano Ronaldo | João Félix | Pedro Neto,[FORA] 45' Diogo Dalot entrou no lugar de João Cancelo | [FORA] 45' João Neves entrou no lugar de Rúben Neves | [CASA] 60' Richard Ríos entrou no lugar de Jefferson Lerma | [CASA] 60' Luis Suárez entrou no lugar de Jhon Córdoba | [FORA] 70' Rafael Leão entrou no lugar de João Félix | [FORA] 70' Samú Costa entrou no lugar de Vitinha  | [CASA] 76' Kevin Castaño entrou no lugar de Jhon Arias | [CASA] 76' Juan Fernando Quintero entrou no lugar de James Rodríguez | [CASA] 87' Daniel Muñoz entrou no lugar de Santiago Arias | [FORA] 90'+2' Matheus Nunes entrou no lugar de Nuno Mendes,,
Portugal,group-stage,World,2026-06-27 23:30:00,Colombia,Portugal,Colombia x Portugal,0 x 0,4-3-3,4-2-3-1,Camilo Vargas | Jhon Lucumí | Davinson Sánchez | Deiver Machado | Santiago Arias | Jefferson Lerma | Gustavo Puerta | Jhon Arias | Jhon Córdoba | Luis Díaz | James Rodríguez,Diogo Costa | Renato Veiga | Rúben Dias | Nuno Mendes | João Cancelo | Bruno Fernandes | Vitinha  | Rúben Neves | Cristiano Ronaldo | João Félix | Pedro Neto,[FORA] 45' Diogo Dalot entrou no lugar de João Cancelo | [FORA] 45' João Neves entrou no lugar de Rúben Neves | [CASA] 60' Richard Ríos entrou no lugar de Jefferson Lerma | [CASA] 60' Luis Suárez entrou no lugar de Jhon Córdoba | [FORA] 70' Rafael Leão entrou no lugar de João Félix | [FORA] 70' Samú Costa entrou no lugar de Vitinha  | [CASA] 76' Kevin Castaño entrou no lugar de Jhon Arias | [CASA] 76' Juan Fernando Quintero entrou no lugar de James Rodríguez | [CASA] 87' Daniel Muñoz entrou no lugar de Santiago Arias | [FORA] 90'+2' Matheus Nunes entrou no lugar de Nuno Mendes,,
Uzbekistan,group-stage,World,2026-06-27 23:30:00,Congo DR,Uzbekistan,Congo DR x Uzbekistan,3 x 1,4-4-2,3-4-2-1,Lionel Mpasi | Axel Tuanzebe | Chancel Mbemba | Arthur Masuaku | Aaron Wan-Bissaka | Noah Sadiki | Samuel Moutoussamy | Brian Cipenga | Nathanaël Mbuku | Yoane Wissa | Cédric Bakambu,Abduvohid Nematov | Abdukodir Khusanov | Jakhongir Urozov | Rustam Ashurmatov | Otabek Shukurov | Akmal Mozgovoy | Sherzod Nasrullaev | Khojiakbar Alijonov | Eldor Shomurodov | Abbosbek Fayzullaev | Dostonbek Khamdamov,[CASA] 51' Fiston Mayele entrou no lugar de Cédric Bakambu | [FORA] 59' Odiljon Xamrobekov entrou no lugar de Otabek Shukurov | [FORA] 59' Azizjon Ganiev entrou no lugar de Dostonbek Khamdamov | [CASA] 72' Meschack Elia entrou no lugar de Nathanaël Mbuku | [CASA] 72' Théo Bongonda entrou no lugar de Brian Cipenga | [CASA] 72' Ngal'ayel Mukau entrou no lugar de Samuel Moutoussamy | [FORA] 73' Oston Urunov entrou no lugar de Abbosbek Fayzullaev | [FORA] 82' Jamshid Iskanderov entrou no lugar de Akmal Mozgovoy | [FORA] 82' Igor Sergeev entrou no lugar de Jakhongir Urozov | [CASA] 83' Joris Kayembe entrou no lugar de Arthur Masuaku,[FORA] 10' Eldor Shomurodov | [CASA] 78' Fiston Mayele | [CASA] 90'+1' Yoane Wissa,[FORA] 10' Akmal Mozgovoy -> Eldor Shomurodov | [CASA] 90'+1' Meschack Elia -> Yoane Wissa
Ghana,group-stage,World,2026-06-27 21:00:00,Croatia,Ghana,Croatia x Ghana,2 x 1,4-2-3-1,4-1-4-1,Dominik Livakovic | Marin Pongracic | Josip Sutalo | Ivan Perisic | Josip Stanisic | Petar Sucic | Mateo Kovacic | Luka Modric | Ante Budimir | Martin Baturina | Nikola Vlasic,Benjamin Asare | Derrick Luckassen | Jonas Adjetey | Thomas Partey | Gideon Mensah | Marvin Senaya | Kwasi Sibo | Elisha Owusu | Kamaldeen Sulemana | Antoine Semenyo | Jordan Ayew,[FORA] 45' Kojo Peprah Oppong entrou no lugar de Jonas Adjetey | [FORA] 45' Fatawu Issahaku entrou no lugar de Elisha Owusu | [CASA] 66' Igor Matanovic entrou no lugar de Ante Budimir | [FORA] 71' Brandon Thomas-Asante entrou no lugar de Jordan Ayew | [FORA] 71' Ernest Nuamah entrou no lugar de Kamaldeen Sulemana | [CASA] 78' Mario Pasalic entrou no lugar de Mateo Kovacic | [FORA] 85' Caleb Yirenkyi entrou no lugar de Kwasi Sibo | [CASA] 88' Josko Gvardiol entrou no lugar de Nikola Vlasic | [CASA] 88' Marco Pasalic entrou no lugar de Martin Baturina,[CASA] 31' Petar Sucic | [FORA] 73' Derrick Luckassen | [CASA] 83' Nikola Vlasic,[CASA] 31' Mateo Kovacic -> Petar Sucic | [FORA] 73' Ernest Nuamah -> Derrick Luckassen | [CASA] 83' Luka Modric -> Nikola Vlasic
Croatia,group-stage,World,2026-06-27 21:00:00,Croatia,Ghana,Croatia x Ghana,2 x 1,4-2-3-1,4-1-4-1,Dominik Livakovic | Marin Pongracic | Josip Sutalo | Ivan Perisic | Josip Stanisic | Petar Sucic | Mateo Kovacic | Luka Modric | Ante Budimir | Martin Baturina | Nikola Vlasic,Benjamin Asare | Derrick Luckassen | Jonas Adjetey | Thomas Partey | Gideon Mensah | Marvin Senaya | Kwasi Sibo | Elisha Owusu | Kamaldeen Sulemana | Antoine Semenyo | Jordan Ayew,[FORA] 45' Kojo Peprah Oppong entrou no lugar de Jonas Adjetey | [FORA] 45' Fatawu Issahaku entrou no lugar de Elisha Owusu | [CASA] 66' Igor Matanovic entrou no lugar de Ante Budimir | [FORA] 71' Brandon Thomas-Asante entrou no lugar de Jordan Ayew | [FORA] 71' Ernest Nuamah entrou no lugar de Kamaldeen Sulemana | [CASA] 78' Mario Pasalic entrou no lugar de Mateo Kovacic | [FORA] 85' Caleb Yirenkyi entrou no lugar de Kwasi Sibo | [CASA] 88' Josko Gvardiol entrou no lugar de Nikola Vlasic | [CASA] 88' Marco Pasalic entrou no lugar de Martin Baturina,[CASA] 31' Petar Sucic | [FORA] 73' Derrick Luckassen | [CASA] 83' Nikola Vlasic,[CASA] 31' Mateo Kovacic -> Petar Sucic | [FORA] 73' Ernest Nuamah -> Derrick Luckassen | [CASA] 83' Luka Modric -> Nikola Vlasic
England,group-stage,World,2026-06-27 21:00:00,Panama,England,Panama x England,0 x 2,5-4-1,4-1-4-1,Orlando Mosquera | José Córdoba | Andrés Andrade | Fidel Escobar | Jorge Gutiérrez | Amir Murillo | Édgar Yoel Bárcenas | Carlos Harvey | José Luis Rodríguez | Cristian Martínez | Tomás Rodríguez,Jordan Pickford | Marc Guéhi | Ezri Konsa | Elliot Anderson | Nico O'Reilly | Jarell Quansah | Jude Bellingham | Morgan Rogers | Marcus Rashford | Bukayo Saka | Harry Kane,[CASA] 45' José Fajardo entrou no lugar de Tomás Rodríguez | [FORA] 63' Djed Spence entrou no lugar de Jarell Quansah | [FORA] 63' Noni Madueke entrou no lugar de Bukayo Saka | [FORA] 71' Eberechi Eze entrou no lugar de Jude Bellingham | [CASA] 71' Ismael Díaz entrou no lugar de Édgar Yoel Bárcenas | [CASA] 71' Azarias Londoño entrou no lugar de José Luis Rodríguez | [FORA] 84' Jordan Henderson entrou no lugar de Elliot Anderson | [FORA] 84' Ollie Watkins entrou no lugar de Harry Kane | [CASA] 88' Alberto Quintero entrou no lugar de Carlos Harvey | [CASA] 88' Éric Davis entrou no lugar de Jorge Gutiérrez,[FORA] 62' Jude Bellingham | [FORA] 67' Harry Kane,[FORA] 62' Bukayo Saka -> Jude Bellingham | [FORA] 67' Jude Bellingham -> Harry Kane
