Jogador,Selecao,Gols
Lionel Messi,Argentina,6
Ousmane Dembélé,France,4
Vinícius Júnior,Brazil,4
Erling Haaland,Norway,4
Kylian Mbappé,France,4
Elijah Just,New Zealand,3
Ismaïla Sarr,Senegal,3
Brian Brobbey,Netherlands,3
Ismael Saibari,Morocco,3
Matheus Cunha,Brazil,3
Johan Manzambi,Switzerland,3
Deniz Undav,Germany,3
Jonathan David,Canada,3
Riyad Mahrez,Algeria,2
Yoane Wissa,Congo DR,2
Jude Bellingham,England,2
Harry Kane,England,2
Ramin Rezaeian,Iran,2
Leandro Trossard,Belgium,2
Pape Gueye,Senegal,2
Anthony Elanga,Sweden,2
Nicolas Pépé,Ivory Coast,2
Julián Quiñones,Mexico,2
Ermin Mahmic,Bosnia-Herzegovina,2
Rubén Vargas,Switzerland,2
Daniel Muñoz,Colombia,2
Cristiano Ronaldo,Portugal,2
Maxi Araújo,Uruguay,2
Mikel Oyarzabal,Spain,2
Daichi Kamada,Japan,2
Ayase Ueda,Japan,2
Cody Gakpo,Netherlands,2
Crysencio Summerville,Netherlands,2
Cyle Larin,Canada,2
Yasin Ayari,Sweden,2
Folarin Balogun,United States,2
Marko Arnautovic,Austria,1
Rafik Belghali,Algeria,1
Marcel Sabitzer,Austria,1
Sasa Kalajdzic,Austria,1
Giovani Lo Celso,Argentina,1
Mousa Al-Tamari,Jordan,1
Eldor Shomurodov,Uzbekistan,1
Fiston Mayele,Congo DR,1
Petar Sucic,Croatia,1
Derrick Luckassen,Ghana,1
Nikola Vlasic,Croatia,1
Mahmoud Saber,Egypt,1
Kevin De Bruyne,Belgium,1
Romelu Lukaku,Belgium,1
Alexis Saelemaekers,Belgium,1
Álex Baena,Spain,1
Thelo Aasgaard,Norway,1
Désiré Doué,France,1
Habib Diarra,Senegal,1
Iliman Ndiaye,Senegal,1
Auston Trusty,United States,1
Arda Güler,Türkiye,1
Baris Alper Yilmaz,Türkiye,1
Sebastian Berhalter,United States,1
Kaan Ayhan,Türkiye,1
Daizen Maeda,Japan,1
Hazem Mastouri,Tunisia,1
Jan Paul van Hecke,Netherlands,1
Leroy Sané,Germany,1
Nilson Angulo,Ecuador,1
Gonzalo Plata,Ecuador,1
Mateo Chávez,Mexico,1
Álvaro Fidalgo,Mexico,1
Thapelo Maseko,South Africa,1
Achraf Hakimi,Morocco,1
Wilson Isidor,Haiti,1
Soufiane Rahimi,Morocco,1
Gessime Yassine,Morocco,1
Kerim Alajbegovic,Bosnia-Herzegovina,1
Hassan Al-Haydos,Qatar,1
Promise David,Canada,1
Ante Budimir,Croatia,1
Nuno Mendes,Portugal,1
Rafael Leão,Portugal,1
Nizar Al-Rashdan,Jordan,1
Nadhir Benbouali,Algeria,1
Amine Gouiri,Algeria,1
Marcus Holmgren Pedersen,Norway,1
Finn Surman,New Zealand,1
Mostafa Zico,Egypt,1
Mohamed Salah,Egypt,1
Trézéguet,Egypt,1
Kevin Pina,Cape Verde,1
Agustín Canobbio,Uruguay,1
Hélio Varela,Cape Verde,1
Lamine Yamal,Spain,1
Junya Ito,Japan,1
Franck Kessié,Ivory Coast,1
Matías Galarza,Paraguay,1
Alex Freeman,United States,1
Luis Romo,Mexico,1
Nathan Saliba,Canada,1
Michal Sadílek,Czechia,1
Abbosbek Fayzullaev,Uzbekistan,1
Luis Díaz,Colombia,1
Jáminton Campaz,Colombia,1
Caleb Yirenkyi,Ghana,1
Martin Baturina,Croatia,1
Petar Musa,Croatia,1
Marcus Rashford,England,1
João Neves,Portugal,1
Romano Schmid,Austria,1
Ali Olwan,Jordan,1
Aymen Hussein,Iraq,1
Leo Østigard,Norway,1
Bradley Barcola,France,1
Ibrahim Mbaye,Senegal,1
Mohammad Mohebbi,Iran,1
Abdulelah Al-Amri,Saudi Arabia,1
Emam Ashour,Egypt,1
Alexander Isak,Sweden,1
Omar Rekik,Tunisia,1
Viktor Gyökeres,Sweden,1
Mattias Svanberg,Sweden,1
Amad Diallo,Ivory Coast,1
Virgil van Dijk,Netherlands,1
Keito Nakamura,Japan,1
Felix Nmecha,Germany,1
Livano Comenencia,Curaçao,1
Nico Schlotterbeck,Germany,1
Jamal Musiala,Germany,1
Nathaniel Brown,Germany,1
Kai Havertz,Germany,1
Nestory Irankunda,Australia,1
Connor Metcalfe,Australia,1
John McGinn,Scotland,1
Maurício,Paraguay,1
Giovanni Reyna,United States,1
Jovo Lukic,Bosnia-Herzegovina,1
Ladislav Krejcí,Czechia,1
Hwang In-Beom,South Korea,1
Oh Hyeon-Gyu,South Korea,1
Raúl Jiménez,Mexico,1
