Jogador,Selecao,Assistencias
Bruno Guimarães,Brazil,3
Michael Olise,France,3
Alexander Isak,Sweden,3
Houssem Aouar,Algeria,2
Bukayo Saka,England,2
Kylian Mbappé,France,2
Iliman Ndiaye,Senegal,2
Viktor Gyökeres,Sweden,2
Hannibal Mejbri,Tunisia,2
Florian Wirtz,Germany,2
Roberto Alvarado,Mexico,2
Jean-Kévin Duverne,Haiti,2
Breel Embolo,Switzerland,2
Nathan Saliba,Canada,2
Martin Ødegaard,Norway,2
Mohamed Salah,Egypt,2
Denzel Dumfries,Netherlands,2
Julio Enciso,Paraguay,2
Brahim Díaz,Morocco,2
Chris Wood,New Zealand,2
Ryan Gravenberch,Netherlands,2
Joshua Kimmich,Germany,2
Deniz Undav,Germany,2
David Alaba,Austria,1
Konrad Laimer,Austria,1
Michael Gregoritsch,Austria,1
Ehsan Haddad,Jordan,1
Akmal Mozgovoy,Uzbekistan,1
Meschack Elia,Congo DR,1
Mateo Kovacic,Croatia,1
Ernest Nuamah,Ghana,1
Luka Modric,Croatia,1
Jude Bellingham,England,1
Trézéguet,Egypt,1
Hans Vanaken,Belgium,1
Nicolas Raskin,Belgium,1
Romelu Lukaku,Belgium,1
Marcos Llorente,Spain,1
Andreas Schjelderup,Norway,1
Aurélien Tchouaméni,France,1
Bradley Barcola,France,1
Abdoulaye Seck,Senegal,1
Lamine Camara,Senegal,1
Ismaïla Sarr,Senegal,1
Pape Gueye,Senegal,1
Sebastian Berhalter,United States,1
Baris Alper Yilmaz,Türkiye,1
Orkun Kökçü,Türkiye,1
Ritsu Doan,Japan,1
Virgil van Dijk,Netherlands,1
Tijjani Reijnders,Netherlands,1
Pedro Vite,Ecuador,1
Kevin Rodríguez,Ecuador,1
Yan Diomande,Ivory Coast,1
Ibrahim Sangaré,Ivory Coast,1
Luis Romo,Mexico,1
Jorge Sánchez,Mexico,1
Tshepang Moremi,South Africa,1
Achraf Hakimi,Morocco,1
Chadi Riad,Morocco,1
Soufiane Rahimi,Morocco,1
Rayan,Brazil,1
Ivan Basic,Bosnia-Herzegovina,1
Edmílson Junior,Qatar,1
Dennis Hadzikadunic,Bosnia-Herzegovina,1
Johan Manzambi,Switzerland,1
Juan Fernando Quintero,Colombia,1
Josip Stanisic,Croatia,1
João Cancelo,Portugal,1
Bruno Fernandes,Portugal,1
Mousa Al-Tamari,Jordan,1
Riyad Mahrez,Algeria,1
Sadio Mané,Senegal,1
Patrick Berg,Norway,1
Nicolas Jackson,Senegal,1
Ousmane Dembélé,France,1
Facundo Medina,Argentina,1
Tim Payne,New Zealand,1
Mohamed Hany,Egypt,1
Mostafa Zico,Egypt,1
Maxi Araújo,Uruguay,1
Mikel Oyarzabal,Spain,1
Aymeric Laporte,Spain,1
Dani Olmo,Spain,1
Keito Nakamura,Japan,1
Kou Itakura,Japan,1
Ayase Ueda,Japan,1
Kaishu Sano,Japan,1
Nadiem Amiri,Germany,1
Felix Nmecha,Germany,1
Cody Gakpo,Netherlands,1
Crysencio Summerville,Netherlands,1
Memphis Depay,Netherlands,1
Vinícius Júnior,Brazil,1
Lucas Paquetá,Brazil,1
Rubén Vargas,Switzerland,1
Alexandr Sojka,Czechia,1
Luis Díaz,Colombia,1
Gustavo Puerta,Colombia,1
Cucho Hernández,Colombia,1
Brandon Thomas-Asante,Ghana,1
Petar Sucic,Croatia,1
Declan Rice,England,1
Ivan Perisic,Croatia,1
Elliot Anderson,England,1
Pedro Neto,Portugal,1
Arthur Masuaku,Congo DR,1
Xaver Schlager,Austria,1
Noor Al-Rawabdeh,Jordan,1
Rodrigo De Paul,Argentina,1
Nico González,Argentina,1
David Møller Wolfe,Norway,1
Amir Al-Ammari,Iraq,1
Adrien Rabiot,France,1
Ramin Rezaeian,Iran,1
Lucas Bergvall,Sweden,1
Wilfried Singo,Ivory Coast,1
Takefusa Kubo,Japan,1
Koki Ogawa,Japan,1
Nathaniel Brown,Germany,1
Paul Okon-Engstler,Australia,1
Homam Ahmed,Qatar,1
Christian Pulisic,United States,1
Malik Tillman,United States,1
Alex Freeman,United States,1
Sead Kolasinac,Bosnia-Herzegovina,1
Promise David,Canada,1
Vladimír Coufal,Czechia,1
Lee Kang-In,South Korea,1
Hwang In-Beom,South Korea,1
Érik Lira,Mexico,1
