Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.43
Vinícius Júnior (Brazil),15.19
Luiz Henrique (Brazil),14.28
Endrick (Brazil),13.56
Zizo (Egypt),13.4
Bruno Guimarães (Brazil),12.4
Emam Ashour (Egypt),10.93
Raphinha (Brazil),10.8
Mohamed Salah (Egypt),8.51
Mahmoud Trézéguet (Egypt),7.23
Casemiro (Brazil),5.96
Marwan Attia (Egypt),5.83
Mohamed Hany (Egypt),5.69
Igor Thiago (Brazil),3.8
Douglas Santos (Brazil),3.65
Weverton (Brazil),2.93
Alex Sandro (Brazil),2.89
Danilo (Brazil),2.81
Rayan (Brazil),2.81
Danilo Oliveira (Brazil),2.79
Bremer (Brazil),2.78
Fabinho (Brazil),2.77
Roger Ibañez (Brazil),2.76
Ibrahim Adel (Egypt),2.72
Gabriel Martinelli (Brazil),2.7
Ahmed Fatouh (Egypt),2.41
Hamdy Fathy (Egypt),2.13
Rami Rabia (Egypt),1.61
Marquinhos (Brazil),0.81
Wesley (Brazil),0.8
