Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),45.37
Vinícius Júnior (Brazil),44.66
Mohamed Salah (Egypt),38.8
Igor Thiago (Brazil),16.55
Luiz Henrique (Brazil),15.69
Mahmoud Trézéguet (Egypt),14.06
Casemiro (Brazil),12.62
Omar Marmoush (Egypt),11.64
Bruno Guimarães (Brazil),11.14
Marquinhos (Brazil),9.84
Reservas/Outros (Brazil),6.74
Gabriel Magalhães (Brazil),6.43
Rami Rabia (Egypt),5.58
Ahmed Fatouh (Egypt),3.47
Marwan Attia (Egypt),2.77
Yasser Ibrahim (Egypt),2.71
Reservas/Outros (Egypt),1.71
Alisson (Brazil),1.36
Wesley (Brazil),1.34
Douglas Santos (Brazil),1.29
Mohamed Hany (Egypt),0.36
Mohanad Lasheen (Egypt),0.34
Mohamed El Shenawy (Egypt),0.33
Hamdi Fathy (Egypt),0.3
