Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Spain,86.58,65.14,46.47,32.21,22.2
Argentina,78.21,55.91,37.72,24.54,15.73
England,74.19,47.97,29.83,17.23,9.67
France,68.45,43.69,26.09,14.27,7.38
Japan,70.19,43.6,25.56,13.92,7.21
Morocco,68.26,40.7,22.54,11.83,5.77
Portugal,59.12,33.05,17.12,8.02,3.48
Colombia,56.3,31.5,16.33,7.92,3.43
Netherlands,58.28,31.91,15.73,7.27,3.02
Brazil,60.05,32.21,15.84,7.34,3.01
Germany,59.19,31.97,15.83,7.17,2.96
Senegal,49.1,26.35,13.05,5.85,2.33
Uruguay,53.47,28.0,13.54,6.12,2.29
Mexico,55.08,27.85,13.01,5.58,2.22
Croatia,50.61,24.42,10.81,4.48,1.55
Belgium,51.01,22.9,9.35,3.43,1.18
USA,44.6,20.6,8.7,3.25,1.04
Norway,37.36,17.09,7.07,2.62,0.89
Australia,37.61,16.66,6.67,2.48,0.79
Austria,37.76,16.6,6.61,2.44,0.75
Ecuador,37.06,16.04,6.43,2.3,0.74
South Korea,39.78,15.77,5.54,1.72,0.49
Switzerland,50.32,18.4,5.99,1.85,0.46
Iran,39.33,14.54,4.57,1.43,0.39
Côte d'Ivoire,29.55,10.84,3.45,0.98,0.25
Türkiye,24.87,9.0,2.9,0.85,0.2
Algeria,20.05,6.71,1.87,0.48,0.13
Egypt,26.11,7.9,2.09,0.5,0.1
Paraguay,18.69,6.08,1.79,0.44,0.1
Uzbekistan,15.64,5.14,1.45,0.39,0.09
Canada,28.29,7.26,1.62,0.3,0.04
DR Congo,13.55,4.22,1.15,0.24,0.03
Panama,12.56,2.89,0.57,0.11,0.02
Tunisia,10.37,2.61,0.52,0.12,0.02
South Africa,12.13,2.71,0.49,0.08,0.01
Haiti,2.01,0.24,0.02,0.0,0.0
Czechia,9.21,1.81,0.26,0.03,0.0
Scotland,10.44,2.37,0.41,0.05,0.0
Bosnia & Herzegovina,3.96,0.45,0.03,0.0,0.0
Qatar,6.37,0.78,0.07,0.01,0.0
Saudi Arabia,4.16,0.73,0.1,0.01,0.0
Cabo Verde,3.64,0.56,0.07,0.01,0.0
New Zealand,1.7,0.2,0.02,0.0,0.0
Sweden,5.71,0.99,0.15,0.02,0.0
Curaçao,5.04,0.88,0.12,0.01,0.0
Iraq,4.29,0.88,0.15,0.02,0.0
Jordan,7.01,1.51,0.3,0.05,0.0
Ghana,2.73,0.36,0.03,0.0,0.0
