Jogador,Gols_Fase_Grupos,Média_Gols_Mata_Mata,Média_Gols_Copa_Total
Lionel Messi (Argentina),6,3.2,9.2
Kylian Mbappé (France),4,4.53,8.53
Erling Haaland (Norway),4,1.67,5.67
Ousmane Dembélé (France),4,1.55,5.55
Vinícius Júnior (Brazil),4,0.9,4.9
Jonathan David (Canada),3,1.26,4.26
Harry Kane (England),2,2.04,4.04
Ismaïla Sarr (Senegal),3,1.04,4.04
Ismael Saibari (Morocco),3,1.03,4.03
Johan Manzambi (Switzerland),3,0.76,3.76
Mikel Oyarzabal (Spain),2,1.66,3.66
Desconhecido (United States),0,3.63,3.63
Brian Brobbey (Netherlands),3,0.46,3.46
Matheus Cunha (Brazil),3,0.39,3.39
Deniz Undav (Germany),3,0.38,3.38
Cristiano Ronaldo (Portugal),2,1.26,3.26
Cody Gakpo (Netherlands),2,1.14,3.14
Ayase Ueda (Japan),2,0.86,2.86
Riyad Mahrez (Algeria),2,0.55,2.55
Jude Bellingham (England),2,0.52,2.52
Daniel Muñoz (Colombia),2,0.42,2.42
Pape Gueye (Senegal),2,0.38,2.38
Daichi Kamada (Japan),2,0.36,2.36
Crysencio Summerville (Netherlands),2,0.34,2.34
Rubén Vargas (Switzerland),2,0.33,2.33
Cyle Larin (Canada),2,0.26,2.26
Leandro Trossard (Belgium),2,0.26,2.26
Julián Quiñones (Mexico),2,0.2,2.2
Anthony Elanga (Sweden),2,0.16,2.16
Yasin Ayari (Sweden),2,0.12,2.12
Luis Díaz (Colombia),1,0.93,1.93
Lamine Yamal (Spain),1,0.79,1.79
Romelu Lukaku (Belgium),1,0.69,1.69
Bradley Barcola (France),1,0.6,1.6
Desconhecido (Bosnia-Herzegovina),0,1.59,1.59
Kai Havertz (Germany),1,0.56,1.56
Raúl Jiménez (Mexico),1,0.53,1.53
Désiré Doué (France),1,0.52,1.52
Nestory Irankunda (Australia),1,0.43,1.43
Kevin De Bruyne (Belgium),1,0.4,1.4
