Jogador,Assists_Fase_Grupos,Média_Assists_Mata_Mata,Média_Assists_Copa_Total
Michael Olise (France),3,1.64,4.64
Bruno Guimarães (Brazil),3,0.69,3.69
Alexander Isak (Sweden),3,0.21,3.21
Kylian Mbappé (France),2,1.06,3.06
Bukayo Saka (England),2,0.74,2.74
Denzel Dumfries (Netherlands),2,0.63,2.63
Joshua Kimmich (Germany),2,0.57,2.57
Florian Wirtz (Germany),2,0.53,2.53
Ryan Gravenberch (Netherlands),2,0.51,2.51
Martin Ødegaard (Norway),2,0.51,2.51
Iliman Ndiaye (Senegal),2,0.51,2.51
Brahim Díaz (Morocco),2,0.4,2.4
Roberto Alvarado (Mexico),2,0.36,2.36
Breel Embolo (Switzerland),2,0.35,2.35
Deniz Undav (Germany),2,0.34,2.34
Houssem Aouar (Algeria),2,0.31,2.31
Julio Enciso (Paraguay),2,0.19,2.19
Mohamed Salah (Egypt),2,0.19,2.19
Viktor Gyökeres (Sweden),2,0.13,2.13
Mikel Oyarzabal (Spain),1,0.93,1.93
Aurélien Tchouaméni (France),1,0.91,1.91
Adrien Rabiot (France),1,0.74,1.74
Bradley Barcola (France),1,0.74,1.74
Rodrigo De Paul (Argentina),1,0.7,1.7
Declan Rice (England),1,0.69,1.69
Dani Olmo (Spain),1,0.64,1.64
Marcos Llorente (Spain),1,0.58,1.58
Facundo Medina (Argentina),1,0.55,1.55
Ousmane Dembélé (France),1,0.55,1.55
Jude Bellingham (England),1,0.51,1.51
Aymeric Laporte (Spain),1,0.5,1.5
Bruno Fernandes (Portugal),1,0.49,1.49
Takefusa Kubo (Japan),1,0.47,1.47
Elliot Anderson (England),1,0.42,1.42
Memphis Depay (Netherlands),1,0.4,1.4
Achraf Hakimi (Morocco),1,0.38,1.38
Sadio Mané (Senegal),1,0.38,1.38
Luis Díaz (Colombia),1,0.36,1.36
João Cancelo (Portugal),1,0.35,1.35
Cody Gakpo (Netherlands),1,0.33,1.33
