Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 1,13.76
Algeria x Jordan,1 x 1,11.71
Argentina x Algeria,1 x 0,17.18
Argentina x Austria,1 x 0,20.17
Argentina x Jordan,2 x 0,17.35
Australia x Türkiye,1 x 0,15.32
Austria x Jordan,1 x 0,14.33
Belgium x Egypt,1 x 0,13.19
Belgium x Iran,1 x 1,12.06
Belgium x New Zealand,2 x 0,14.08
Bosnia & Herzegovina x Qatar,1 x 1,10.48
Bosnia & Herzegovina x Switzerland,0 x 2,9.93
Brazil x Haiti,3 x 0,11.82
Brazil x Morocco,0 x 1,14.64
Brazil x Scotland,2 x 0,12.71
Cabo Verde x Saudi Arabia,1 x 1,13.29
Cabo Verde x Uruguay,0 x 2,14.76
Canada x Bosnia & Herzegovina,2 x 1,8.91
Canada x Qatar,2 x 1,9.36
Canada x Switzerland,1 x 2,9.38
Croatia x Ghana,2 x 0,13.7
Croatia x Panama,2 x 1,9.91
Curaçao x Côte d'Ivoire,0 x 1,13.16
Curaçao x Ecuador,0 x 1,21.11
Côte d'Ivoire x Ecuador,0 x 0,22.12
DR Congo x Colombia,0 x 1,15.69
DR Congo x Uzbekistan,1 x 1,13.35
Egypt x Iran,1 x 1,11.66
Egypt x New Zealand,1 x 0,12.37
England x Croatia,1 x 0,15.47
England x Ghana,2 x 0,18.45
England x Panama,2 x 0,15.32
France x Iraq,2 x 0,12.62
France x Norway,2 x 1,9.69
France x Senegal,1 x 1,12.68
Germany x Curaçao,2 x 0,12.32
Germany x Côte d'Ivoire,1 x 0,12.47
Germany x Ecuador,1 x 0,19.1
Ghana x Panama,0 x 1,12.2
Haiti x Scotland,1 x 1,10.52
Iran x New Zealand,2 x 0,11.17
Iraq x Norway,0 x 2,11.54
Japan x Sweden,2 x 0,13.8
Japan x Tunisia,1 x 0,16.27
Mexico x Czechia,1 x 0,15.0
Mexico x South Africa,1 x 0,16.04
Mexico x South Korea,1 x 0,16.62
Morocco x Haiti,2 x 0,14.63
Morocco x Scotland,2 x 0,15.34
Netherlands x Japan,1 x 1,12.96
Netherlands x Sweden,2 x 0,10.38
Netherlands x Tunisia,2 x 0,12.73
Paraguay x Australia,0 x 0,22.59
Paraguay x Türkiye,0 x 1,15.24
Portugal x Colombia,1 x 1,11.07
Portugal x DR Congo,2 x 0,10.75
Portugal x Uzbekistan,2 x 1,10.19
Qatar x Switzerland,0 x 2,9.62
Saudi Arabia x Uruguay,0 x 1,19.52
Senegal x Iraq,1 x 0,17.02
Senegal x Norway,1 x 1,12.9
South Africa x Czechia,1 x 1,11.06
South Africa x South Korea,0 x 1,12.1
South Korea x Czechia,1 x 0,10.96
Spain x Cabo Verde,4 x 0,10.6
Spain x Saudi Arabia,3 x 0,13.52
Spain x Uruguay,1 x 0,11.45
Sweden x Tunisia,1 x 1,11.85
USA x Australia,1 x 1,13.24
USA x Paraguay,1 x 0,13.89
USA x Türkiye,1 x 1,10.42
Uzbekistan x Colombia,0 x 1,13.67
