Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,80.82,17.67,1.35,0.16,99.73,7.71
England,65.55,27.26,6.15,1.03,98.13,6.9
Argentina,71.19,20.92,6.36,1.53,97.72,6.85
Morocco,53.69,36.84,8.19,1.28,97.53,6.54
Japan,56.8,32.95,8.32,1.93,96.81,6.52
Switzerland,62.35,26.6,8.61,2.43,96.48,6.62
Brazil,41.48,44.92,11.42,2.18,96.1,6.07
France,52.55,28.37,15.18,3.9,93.9,6.01
Germany,55.94,26.07,13.37,4.62,93.42,5.95
Belgium,47.13,31.15,17.66,4.05,93.33,5.87
Netherlands,37.32,44.33,14.05,4.31,93.08,5.7
Mexico,51.11,30.33,13.54,5.03,92.67,5.91
Uruguay,18.11,65.69,12.97,3.24,92.39,5.4
Croatia,28.9,49.54,17.15,4.42,91.93,5.44
Portugal,45.45,31.96,15.59,7.0,90.18,5.62
Iran,33.62,34.35,25.19,6.84,88.84,5.21
Colombia,40.49,34.61,17.02,7.89,88.62,5.46
Canada,28.16,42.52,20.33,8.98,86.37,5.12
South Korea,32.92,35.3,21.15,10.64,84.9,5.01
Senegal,26.82,35.4,28.36,9.41,84.09,4.86
USA,40.74,26.72,18.97,13.56,82.62,4.99
Austria,17.73,41.3,27.57,13.4,78.89,4.4
Ecuador,21.92,34.06,30.52,13.5,78.23,4.43
Egypt,17.65,28.97,39.16,14.22,76.15,4.21
Norway,18.7,29.58,36.81,14.91,75.99,4.22
Australia,28.3,28.99,24.44,18.27,75.62,4.44
Côte d'Ivoire,18.56,29.5,33.23,18.72,72.44,4.03
Türkiye,18.45,23.43,27.72,30.39,61.61,3.63
Algeria,8.28,25.27,37.97,28.48,58.57,3.27
Paraguay,12.5,20.86,28.86,37.78,53.51,3.2
Panama,4.53,16.99,49.47,29.01,51.79,2.91
South Africa,8.88,18.32,33.68,39.12,50.33,2.95
Scotland,3.98,13.81,52.76,29.45,49.86,2.8
Uzbekistan,7.57,17.82,34.2,40.41,47.46,2.86
Qatar,5.66,17.78,37.79,38.77,47.11,2.8
Czechia,7.09,16.05,31.63,45.22,44.21,2.67
DR Congo,6.5,15.62,33.19,44.7,43.25,2.67
Tunisia,3.5,13.13,42.77,40.61,41.88,2.5
Bosnia & Herzegovina,3.82,13.1,33.27,49.81,36.78,2.36
Jordan,2.8,12.51,28.1,56.59,31.49,2.09
Sweden,2.38,9.6,34.87,53.15,31.0,2.08
Curaçao,3.58,10.37,22.89,63.16,27.69,1.97
Saudi Arabia,0.6,8.6,44.06,46.73,26.39,1.94
Cabo Verde,0.47,8.05,41.63,49.86,24.25,1.93
Ghana,1.02,6.21,27.23,65.53,20.83,1.59
Iraq,1.93,6.65,19.65,71.77,20.12,1.59
Haiti,0.85,4.42,27.64,67.09,18.31,1.47
New Zealand,1.6,5.53,17.99,74.89,17.4,1.45
