Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),229085,4.58
Harry Kane (England),215010,4.3
Brahim Díaz (Morocco),173477,3.47
Erling Haaland (Norway),160761,3.22
Mehdi Taremi (Iran),160868,3.22
Cristiano Ronaldo (Portugal),154371,3.09
Mikel Oyarzabal (Spain),144530,2.89
Ayase Ueda (Japan),141696,2.83
Breel Embolo (Switzerland),132853,2.66
Lionel Messi (Argentina),127909,2.56
Jonathan David (Canada),120910,2.42
Mikel Merino (Spain),117519,2.35
Cody Gakpo (Netherlands),109140,2.18
Sadio Mané (Senegal),107781,2.16
Romelu Lukaku (Belgium),106377,2.13
Son Heung-min (South Korea),104294,2.09
Raúl Jiménez (Mexico),103462,2.07
Mohamed Salah (Egypt),99304,1.99
Luis Díaz (Colombia),82224,1.64
Andrej Kramarić (Croatia),80615,1.61
Memphis Depay (Netherlands),79114,1.58
Michael Gregoritsch (Austria),76813,1.54
Almoez Ali (Qatar),74990,1.5
Dani Olmo (Spain),74787,1.5
Lautaro Martínez (Argentina),71768,1.44
Viktor Gyökeres (Sweden),71918,1.44
Vinícius Júnior (Brazil),68974,1.38
Ferran Torres (Spain),68172,1.36
Kai Havertz (Germany),67133,1.34
Bruno Fernandes (Portugal),67212,1.34
