Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),128038,2.56
Mikel Oyarzabal (Spain),113541,2.27
Junya Ito (Japan),94724,1.89
Takefusa Kubo (Japan),88433,1.77
James Rodríguez (Colombia),84902,1.7
Nico Williams (Spain),80991,1.62
Fabián Ruiz (Spain),74802,1.5
Kylian Mbappé (France),69797,1.4
Declan Rice (England),69275,1.39
Achraf Hakimi (Morocco),69217,1.38
Joshua Kimmich (Germany),65947,1.32
Ivan Perišić (Croatia),60330,1.21
Remo Freuler (Switzerland),58945,1.18
Azzedine Ounahi (Morocco),56973,1.14
Pedri (Spain),56557,1.13
Ferran Torres (Spain),56017,1.12
Rubén Vargas (Switzerland),54832,1.1
Jude Bellingham (England),54465,1.09
Akram Afif (Qatar),53610,1.07
Bruno Fernandes (Portugal),53216,1.06
Denzel Dumfries (Netherlands),53075,1.06
Marc Cucurella (Spain),52654,1.05
Lucas Paquetá (Brazil),51425,1.03
Lucas Digne (France),50751,1.02
Nuno Mendes (Portugal),50523,1.01
Enzo Fernández (Argentina),49353,0.99
Saman Ghoddos (Iran),48257,0.97
Florian Wirtz (Germany),48093,0.96
Luiz Henrique (Brazil),48230,0.96
Dani Olmo (Spain),46831,0.94
