Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 0,46.88
Algeria x Jordan,0 x 0,36.65
Argentina x Algeria,0 x 0,42.55
Argentina x Austria,0 x 0,51.64
Argentina x Jordan,1 x 0,33.64
Australia x Türkiye,0 x 0,51.04
Austria x Jordan,0 x 0,44.52
Belgium x Egypt,0 x 0,49.02
Belgium x Iran,0 x 0,41.4
Belgium x New Zealand,0 x 0,42.66
Bosnia & Herzegovina x Qatar,0 x 0,42.04
Bosnia & Herzegovina x Switzerland,0 x 0,35.85
Brazil x Haiti,0 x 0,39.39
Brazil x Morocco,0 x 0,43.97
Brazil x Scotland,0 x 0,41.33
Cabo Verde x Saudi Arabia,0 x 0,46.89
Cabo Verde x Uruguay,0 x 0,52.52
Canada x Bosnia & Herzegovina,0 x 0,36.56
Canada x Qatar,0 x 0,43.07
Canada x Switzerland,0 x 0,39.65
Croatia x Ghana,0 x 0,43.39
Croatia x Panama,0 x 0,35.84
Curaçao x Côte d'Ivoire,0 x 0,43.79
Curaçao x Ecuador,0 x 0,56.02
Côte d'Ivoire x Ecuador,0 x 0,65.56
DR Congo x Colombia,0 x 0,55.95
DR Congo x Uzbekistan,0 x 0,51.4
Egypt x Iran,0 x 0,42.05
Egypt x New Zealand,0 x 0,45.75
England x Croatia,0 x 0,47.34
England x Ghana,0 x 0,52.49
England x Panama,0 x 0,46.68
France x Iraq,0 x 0,43.57
France x Norway,0 x 0,38.17
France x Senegal,0 x 0,40.76
Germany x Curaçao,0 x 0,35.11
Germany x Côte d'Ivoire,0 x 0,47.38
Germany x Ecuador,0 x 0,59.52
Ghana x Panama,0 x 0,47.35
Haiti x Scotland,0 x 0,41.26
Iran x New Zealand,0 x 0,37.62
Iraq x Norway,0 x 0,41.54
Japan x Sweden,0 x 0,38.03
Japan x Tunisia,0 x 0,50.25
Mexico x Czechia,0 x 0,50.02
Mexico x South Africa,0 x 0,55.88
Mexico x South Korea,0 x 0,56.74
Morocco x Haiti,0 x 0,44.34
Morocco x Scotland,0 x 0,41.24
Netherlands x Japan,0 x 0,44.76
Netherlands x Sweden,0 x 0,33.24
Netherlands x Tunisia,0 x 0,44.19
Paraguay x Australia,0 x 0,61.31
Paraguay x Türkiye,0 x 0,49.99
Portugal x Colombia,0 x 0,38.33
Portugal x DR Congo,0 x 0,38.94
Portugal x Uzbekistan,0 x 0,33.84
Qatar x Switzerland,0 x 0,41.93
Saudi Arabia x Uruguay,0 x 0,57.06
Senegal x Iraq,0 x 0,41.47
Senegal x Norway,0 x 0,40.47
South Africa x Czechia,0 x 0,43.57
South Africa x South Korea,0 x 0,49.9
South Korea x Czechia,0 x 0,44.07
Spain x Cabo Verde,0 x 0,33.3
Spain x Saudi Arabia,0 x 0,36.45
Spain x Uruguay,0 x 0,45.3
Sweden x Tunisia,0 x 0,42.01
USA x Australia,0 x 0,47.91
USA x Paraguay,0 x 0,50.75
USA x Türkiye,0 x 0,35.53
Uzbekistan x Colombia,0 x 0,50.42
