Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Argentina,67.08,21.01,9.53,2.38,96.02,5.86
Portugal,61.54,20.38,11.02,7.06,90.75,5.44
Morocco,48.62,27.2,16.45,7.73,88.78,5.07
Senegal,49.31,27.58,15.04,8.07,88.69,5.1
Japan,45.51,28.11,18.1,8.28,87.78,4.94
England,42.43,29.24,19.26,9.07,86.48,4.8
Spain,47.32,25.51,15.77,11.4,84.73,4.83
Belgium,32.94,30.55,24.19,12.32,81.07,4.42
Türkiye,38.64,27.51,19.75,14.1,80.72,4.4
Iran,35.01,28.22,23.77,13.0,80.15,4.37
Switzerland,36.66,26.99,21.69,14.66,79.71,4.45
Canada,32.34,28.28,22.27,17.11,76.72,4.25
Côte d'Ivoire,32.5,26.84,22.92,17.74,75.91,4.05
Egypt,25.77,28.82,28.93,16.48,74.51,4.02
Australia,27.53,28.88,25.86,17.73,74.42,3.94
South Korea,28.66,26.69,24.36,20.29,73.11,3.91
Croatia,28.65,27.16,22.98,21.21,71.87,3.93
Germany,29.84,26.14,22.35,21.67,71.78,3.89
Norway,25.7,27.7,26.39,20.21,71.14,3.89
Netherlands,24.51,27.86,25.6,22.03,70.2,3.81
Mexico,26.39,24.3,26.76,22.55,69.75,3.72
Uruguay,20.89,28.14,28.82,22.15,68.39,3.66
Austria,13.89,33.24,32.76,20.11,67.5,3.56
Haiti,20.55,26.66,27.18,25.61,65.96,3.59
Ecuador,18.52,24.6,32.48,24.4,65.83,3.45
Brazil,19.52,27.41,28.19,24.88,65.7,3.57
South Africa,23.58,24.5,24.79,27.13,65.22,3.56
Cabo Verde,20.71,26.39,26.77,26.13,64.34,3.54
USA,24.32,24.32,23.94,27.42,64.32,3.57
Czechia,21.37,24.51,24.09,30.03,62.08,3.44
Tunisia,17.69,24.83,29.55,27.93,61.93,3.41
France,16.99,25.83,29.36,27.82,61.4,3.44
Algeria,13.81,28.9,30.78,26.51,61.36,3.35
Colombia,13.74,27.73,30.68,27.85,60.52,3.28
Panama,16.46,23.29,28.09,32.16,57.52,3.21
Qatar,15.62,23.09,28.88,32.41,57.47,3.27
Curaçao,19.14,22.42,22.25,36.19,56.29,3.19
Uzbekistan,12.9,25.83,29.37,31.9,55.86,3.13
DR Congo,11.82,26.06,28.93,33.19,54.94,3.09
Bosnia & Herzegovina,15.38,21.64,27.16,35.82,54.48,3.16
Ghana,12.46,20.31,29.67,37.56,51.36,2.95
Saudi Arabia,11.08,19.96,28.64,40.32,48.1,2.84
Sweden,12.29,19.2,26.75,41.76,48.07,2.88
Paraguay,9.51,19.29,30.45,40.75,47.55,2.77
Scotland,11.31,18.73,28.18,41.78,47.28,2.81
Iraq,8.0,18.89,29.21,43.9,43.91,2.68
Jordan,5.22,16.85,26.93,51.0,36.28,2.36
New Zealand,6.28,12.41,23.11,58.2,32.05,2.23
