Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),6655,0.67
Mehdi Taremi (Iran),6552,0.66
Cristiano Ronaldo (Portugal),6442,0.64
Erling Haaland (Norway),6231,0.62
Kylian Mbappé (France),5730,0.57
Sadio Mané (Senegal),5490,0.55
Lionel Messi (Argentina),5294,0.53
Jonathan David (Canada),5314,0.53
Lautaro Martínez (Argentina),5147,0.51
Brahim Díaz (Morocco),4476,0.45
Mikel Oyarzabal (Spain),4304,0.43
Bruno Fernandes (Portugal),4172,0.42
Mohamed Salah (Egypt),4167,0.42
Andrej Kramarić (Croatia),4009,0.4
Ayase Ueda (Japan),3984,0.4
Ayoub El Kaabi (Morocco),3865,0.39
Romelu Lukaku (Belgium),3830,0.38
Breel Embolo (Switzerland),3725,0.37
Edin Džeko (Bosnia & Herzegovina),3571,0.36
Frantzdy Pierrot (Haiti),3580,0.36
Duckens Nazon (Haiti),3587,0.36
Mohammad Mohebi (Iran),3478,0.35
Viktor Gyökeres (Sweden),3476,0.35
Son Heung-min (South Korea),3392,0.34
Kai Havertz (Germany),3192,0.32
Kevin De Bruyne (Belgium),3170,0.32
Jordan Ayew (Ghana),3148,0.31
Julián Alvarez (Argentina),2993,0.3
Almoez Ali (Qatar),2981,0.3
João Félix (Portugal),3045,0.3
