Jogador,Assists_Simuladas,Assists_Medias_Torneio
Junya Ito (Japan),4821,0.48
Achraf Hakimi (Morocco),4827,0.48
Takefusa Kubo (Japan),4704,0.47
Bruno Fernandes (Portugal),3893,0.39
Lamine Yamal (Spain),3525,0.35
Ali Abdi (Tunisia),3395,0.34
Akram Afif (Qatar),3283,0.33
Saman Ghoddos (Iran),3236,0.32
Ivan Perišić (Croatia),3218,0.32
Lionel Messi (Argentina),3139,0.31
Salem Al-Dawsari (Saudi Arabia),3014,0.3
Nuno Mendes (Portugal),3021,0.3
Mehdi Taremi (Iran),2998,0.3
Denzel Dumfries (Netherlands),2880,0.29
Declan Rice (England),2900,0.29
Nicolás González (Argentina),2910,0.29
Ismaïla Sarr (Senegal),2741,0.27
Marc Guéhi (England),2678,0.27
Mikel Oyarzabal (Spain),2683,0.27
Joshua Kimmich (Germany),2554,0.26
Kang-in Lee (South Korea),2539,0.25
Sadio Mané (Senegal),2474,0.25
Ali Ahmed (Canada),2533,0.25
Azzedine Ounahi (Morocco),2455,0.25
Zizo (Egypt),2481,0.25
Jordan Ayew (Ghana),2494,0.25
James Rodríguez (Colombia),2401,0.24
Iliman Ndiaye (Senegal),2413,0.24
Remo Freuler (Switzerland),2396,0.24
Jérémy Doku (Belgium),2420,0.24
