Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.42
Zizo (Egypt),19.4
Vinícius Júnior (Brazil),15.37
Luiz Henrique (Brazil),14.29
Endrick (Brazil),13.54
Bruno Guimarães (Brazil),12.2
Raphinha (Brazil),10.86
Mohamed Salah (Egypt),8.47
Mahmoud Trézéguet (Egypt),7.27
Casemiro (Brazil),6.09
Marwan Attia (Egypt),5.78
Mohamed Hany (Egypt),5.68
Ibrahim Adel (Egypt),4.04
Douglas Santos (Brazil),3.64
Igor Thiago (Brazil),3.61
Hamdy Fathy (Egypt),3.23
Roger Ibañez (Brazil),2.88
Weverton (Brazil),2.87
Bremer (Brazil),2.83
Fabinho (Brazil),2.81
Gabriel Martinelli (Brazil),2.81
Danilo Oliveira (Brazil),2.8
Danilo (Brazil),2.77
Rayan (Brazil),2.71
Alex Sandro (Brazil),2.68
Ahmed Fatouh (Egypt),2.42
Rami Rabia (Egypt),1.64
Alisson (Brazil),0.86
Marquinhos (Brazil),0.8
Gabriel Magalhães (Brazil),0.79
