Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),22.89
Vinícius Júnior (Brazil),22.39
Mohamed Salah (Egypt),19.3
Gabriel Martinelli (Brazil),19.09
Matheus Cunha (Brazil),17.14
Endrick (Brazil),13.24
Ibrahim Adel (Egypt),11.6
Danilo Oliveira (Brazil),11.27
Zizo (Egypt),10.8
Reservas/Outros (Brazil),9.69
Igor Thiago (Brazil),8.28
Luiz Henrique (Brazil),7.8
Mahmoud Trézéguet (Egypt),7.11
Bremer (Brazil),6.77
Casemiro (Brazil),6.24
Omar Marmoush (Egypt),5.97
Rayan (Brazil),5.9
Bruno Guimarães (Brazil),5.65
Marquinhos (Brazil),5.07
Reservas/Outros (Egypt),5.01
Hamdy Fathy (Egypt),4.12
Gabriel Magalhães (Brazil),3.13
Mahmoud Saber (Egypt),2.83
Rami Rabia (Egypt),2.76
Mohamed Abdelmonem (Egypt),2.46
Ahmed Fatouh (Egypt),1.69
Yasser Ibrahim (Egypt),1.45
Marwan Attia (Egypt),1.37
Alex Sandro (Brazil),1.35
Danilo (Brazil),1.33
