Placar,Probabilidade (%)
1x0,13.48
2x0,11.85
1x1,10.92
2x1,9.45
0x0,7.77
3x0,6.74
0x1,6.4
3x1,5.56
1x2,4.66
2x2,3.91
4x0,2.94
0x2,2.64
4x1,2.39
3x2,2.28
1x3,1.23
2x3,1.08
5x0,1.04
4x2,0.97
5x1,0.83
0x3,0.74
3x3,0.62
5x2,0.34
6x0,0.29
1x4,0.26
4x3,0.25
6x1,0.25
2x4,0.21
0x4,0.15
3x4,0.12
6x2,0.09
5x3,0.08
7x0,0.07
7x1,0.06
2x5,0.05
4x4,0.05
1x5,0.04
6x3,0.03
0x5,0.03
8x1,0.02
3x5,0.02
8x0,0.02
7x2,0.02
5x4,0.02
7x3,0.01
5x5,0.01
2x6,0.01
4x5,0.01
6x4,0.0
1x7,0.0
9x1,0.0
8x2,0.0
2x7,0.0
9x0,0.0
1x6,0.0
5x6,0.0
8x3,0.0
9x3,0.0
3x6,0.0
10x3,0.0
0x6,0.0
0x7,0.0
