Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Belgium,88.6,9.85,1.55,0.0,100.0,8.13
Portugal,70.2,29.4,0.4,0.0,100.0,7.44
Germany,76.25,18.3,5.45,0.0,100.0,7.11
Uruguay,16.05,83.45,0.5,0.0,100.0,6.56
Argentina,76.85,21.75,1.4,0.0,100.0,7.74
Spain,83.95,16.05,0.0,0.0,100.0,7.96
Switzerland,82.3,14.1,3.6,0.0,99.95,7.64
Brazil,59.85,37.25,2.9,0.0,99.95,7.18
Austria,22.0,66.45,11.55,0.0,99.95,6.06
Morocco,39.0,55.6,5.4,0.0,99.95,6.55
England,66.0,32.75,1.2,0.05,99.9,7.49
France,79.5,16.4,4.1,0.0,99.85,7.56
Netherlands,53.45,44.1,2.45,0.0,99.65,6.91
Japan,46.0,51.2,2.55,0.25,99.6,6.88
Côte d'Ivoire,9.4,38.55,52.0,0.05,99.55,4.55
Croatia,33.3,63.05,3.6,0.05,99.55,6.51
Colombia,29.65,68.65,1.5,0.2,99.35,6.62
Ecuador,14.35,43.15,42.2,0.3,97.75,5.21
Iran,5.65,46.2,48.15,0.0,97.65,4.55
South Korea,50.4,33.6,14.2,1.8,96.8,6.1
Senegal,13.6,53.25,32.7,0.45,96.65,5.21
Egypt,5.75,43.95,50.05,0.25,96.35,4.76
Algeria,1.15,11.8,87.05,0.0,94.45,3.59
Mexico,37.3,41.6,17.75,3.35,94.05,5.75
Canada,9.75,45.15,41.8,3.3,89.7,4.61
Norway,6.9,30.3,60.25,2.55,87.4,4.21
Bosnia & Herzegovina,7.95,39.8,48.05,4.2,86.7,4.34
Scotland,1.15,7.15,89.2,2.5,81.45,3.41
USA,38.65,25.1,20.95,15.3,80.4,4.76
Türkiye,33.6,27.2,20.7,18.5,74.95,4.38
Czechia,11.5,21.75,51.35,15.4,72.2,3.62
Australia,15.5,27.05,28.65,28.8,61.3,3.47
Paraguay,12.25,20.65,29.7,37.4,52.3,3.15
Sweden,0.45,3.7,63.8,32.05,32.85,2.22
Ghana,0.7,3.7,70.3,25.3,32.1,2.16
Saudi Arabia,0.0,0.5,88.55,10.95,17.05,2.4
DR Congo,0.1,1.3,51.1,47.5,14.55,1.55
South Africa,0.8,3.05,16.7,79.45,13.7,1.18
Uzbekistan,0.05,0.65,47.0,52.3,11.75,1.57
Tunisia,0.1,1.0,31.2,67.7,10.75,1.1
Panama,0.0,0.5,24.9,74.6,5.5,1.0
Qatar,0.0,0.95,6.55,92.5,3.1,0.53
Iraq,0.0,0.05,2.95,97.0,0.8,0.24
Cabo Verde,0.0,0.0,10.95,89.05,0.45,0.52
Haiti,0.0,0.0,2.5,97.5,0.05,0.15
Jordan,0.0,0.0,0.0,100.0,0.0,0.01
Curaçao,0.0,0.0,0.35,99.65,0.0,0.06
New Zealand,0.0,0.0,0.25,99.75,0.0,0.04
