Jogador,Gols_Simulados,Gols_Medios_Torneio
Mikel Oyarzabal (Spain),11958,5.98
Kylian Mbappé (France),9639,4.82
Kai Havertz (Germany),7808,3.9
Dani Olmo (Spain),7755,3.88
Mehdi Taremi (Iran),7245,3.62
Harry Kane (England),7066,3.53
Romelu Lukaku (Belgium),6849,3.42
Mikel Merino (Spain),6793,3.4
Lionel Messi (Argentina),6547,3.27
Cristiano Ronaldo (Portugal),6405,3.2
Lautaro Martínez (Argentina),6257,3.13
Kevin De Bruyne (Belgium),5706,2.85
Brahim Díaz (Morocco),5667,2.83
Rodri (Spain),5546,2.77
Darwin Núñez (Uruguay),5377,2.69
Florian Wirtz (Germany),5180,2.59
Michael Gregoritsch (Austria),5051,2.53
Ayoub El Kaabi (Morocco),4940,2.47
Breel Embolo (Switzerland),4630,2.32
Marko Arnautović (Austria),4579,2.29
Vinícius Júnior (Brazil),4567,2.28
Erling Haaland (Norway),4270,2.13
Ferran Torres (Spain),4248,2.12
Bruno Fernandes (Portugal),4238,2.12
Andrej Kramarić (Croatia),4136,2.07
Mohamed Salah (Egypt),4076,2.04
Marcel Sabitzer (Austria),4060,2.03
Mohammad Mohebi (Iran),3925,1.96
Federico Valverde (Uruguay),3909,1.95
Mohamed Amoura (Algeria),3738,1.87
