Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),10353,5.18
Mikel Oyarzabal (Spain),7634,3.82
Achraf Hakimi (Morocco),6222,3.11
Joshua Kimmich (Germany),6216,3.11
Nico Williams (Spain),6092,3.05
Fabián Ruiz (Spain),5130,2.56
Ferran Torres (Spain),5125,2.56
Florian Wirtz (Germany),4772,2.39
Jérémy Doku (Belgium),4235,2.12
Vinícius Júnior (Brazil),3865,1.93
Alexis Saelemaekers (Belgium),3787,1.89
Lionel Messi (Argentina),3756,1.88
Bruno Fernandes (Portugal),3713,1.86
Saman Ghoddos (Iran),3630,1.82
Marcel Sabitzer (Austria),3635,1.82
Junya Ito (Japan),3534,1.77
Nicolás González (Argentina),3526,1.76
Maximiliano Araújo (Uruguay),3491,1.75
Takefusa Kubo (Japan),3501,1.75
Lucas Paquetá (Brazil),3480,1.74
Kylian Mbappé (France),3441,1.72
Mehdi Taremi (Iran),3365,1.68
Ivan Perišić (Croatia),3266,1.63
James Rodríguez (Colombia),3261,1.63
Leroy Sané (Germany),3249,1.62
Denzel Dumfries (Netherlands),3179,1.59
Azzedine Ounahi (Morocco),3140,1.57
Pedri (Spain),3022,1.51
Declan Rice (England),3018,1.51
Simon Adingra (Côte d'Ivoire),3005,1.5
