Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),22.74
Vinícius Júnior (Brazil),22.39
Mohamed Salah (Egypt),19.2
Gabriel Martinelli (Brazil),18.95
Matheus Cunha (Brazil),17.16
Endrick (Brazil),13.23
Ibrahim Adel (Egypt),12.55
Zizo (Egypt),11.43
Danilo Oliveira (Brazil),11.07
Reservas/Outros (Brazil),9.94
Igor Thiago (Brazil),8.31
Luiz Henrique (Brazil),7.73
Mahmoud Trézéguet (Egypt),7.14
Bremer (Brazil),7.02
Casemiro (Brazil),6.24
Rayan (Brazil),6.03
Omar Marmoush (Egypt),5.89
Bruno Guimarães (Brazil),5.61
Reservas/Outros (Egypt),5.28
Marquinhos (Brazil),4.8
Hamdy Fathy (Egypt),4.2
Gabriel Magalhães (Brazil),3.21
Rami Rabia (Egypt),2.79
Mohamed Abdelmonem (Egypt),2.5
Ahmed Fatouh (Egypt),1.59
Danilo (Brazil),1.38
Yasser Ibrahim (Egypt),1.37
Marwan Attia (Egypt),1.37
Alex Sandro (Brazil),1.32
Weverton (Brazil),1.3
