Placar,Probabilidade (%)
1x0,13.51
2x0,11.54
1x1,11.12
2x1,9.52
0x0,7.78
3x0,6.85
0x1,6.54
3x1,5.52
1x2,4.46
2x2,3.93
4x0,2.96
0x2,2.6
4x1,2.41
3x2,2.32
1x3,1.25
2x3,1.05
5x0,1.02
4x2,0.93
5x1,0.79
0x3,0.67
3x3,0.62
5x2,0.32
6x0,0.3
4x3,0.27
6x1,0.25
1x4,0.25
2x4,0.24
0x4,0.17
3x4,0.13
6x2,0.1
5x3,0.1
7x0,0.07
4x4,0.07
7x1,0.06
1x5,0.04
2x5,0.04
0x5,0.03
6x3,0.02
3x5,0.02
7x2,0.02
5x4,0.02
8x0,0.02
0x6,0.01
8x2,0.01
8x1,0.01
6x4,0.01
4x5,0.01
6x5,0.0
1x7,0.0
10x1,0.0
0x7,0.0
3x6,0.0
9x0,0.0
7x4,0.0
3x7,0.0
1x8,0.0
7x3,0.0
2x6,0.0
1x6,0.0
9x1,0.0
5x5,0.0
2x7,0.0
