Jogador,Gols_Fase_Grupos,Média_Gols_Mata_Mata,Média_Gols_Copa_Total
Lionel Messi (Argentina),6,3.37,9.37
Kylian Mbappé (France),4,4.83,8.83
Ousmane Dembélé (France),4,1.74,5.74
Erling Haaland (Norway),4,1.63,5.63
Vinícius Júnior (Brazil),4,1.04,5.04
Jonathan David (Canada),3,1.51,4.51
Ismaïla Sarr (Senegal),3,1.14,4.14
Ismael Saibari (Morocco),3,1.09,4.09
Harry Kane (England),2,2.02,4.02
Johan Manzambi (Switzerland),3,0.84,3.84
Desconhecido (United States),0,3.82,3.82
Mikel Oyarzabal (Spain),2,1.75,3.75
Brian Brobbey (Netherlands),3,0.55,3.55
Matheus Cunha (Brazil),3,0.47,3.47
Deniz Undav (Germany),3,0.43,3.43
Cristiano Ronaldo (Portugal),2,1.37,3.37
Cody Gakpo (Netherlands),2,1.2,3.2
Ayase Ueda (Japan),2,0.86,2.86
Riyad Mahrez (Algeria),2,0.6,2.6
Jude Bellingham (England),2,0.58,2.58
Daniel Muñoz (Colombia),2,0.47,2.47
Pape Gueye (Senegal),2,0.41,2.41
Crysencio Summerville (Netherlands),2,0.39,2.38
Rubén Vargas (Switzerland),2,0.37,2.37
Daichi Kamada (Japan),2,0.37,2.37
Anthony Elanga (Sweden),2,0.35,2.35
Cyle Larin (Canada),2,0.32,2.32
Leandro Trossard (Belgium),2,0.3,2.3
Julián Quiñones (Mexico),2,0.23,2.23
Yasin Ayari (Sweden),2,0.14,2.14
Luis Díaz (Colombia),1,0.92,1.92
Lamine Yamal (Spain),1,0.84,1.84
Romelu Lukaku (Belgium),1,0.7,1.7
Bradley Barcola (France),1,0.64,1.64
Kai Havertz (Germany),1,0.6,1.6
Desconhecido (Bosnia-Herzegovina),0,1.6,1.6
Désiré Doué (France),1,0.55,1.55
Raúl Jiménez (Mexico),1,0.53,1.53
Nestory Irankunda (Australia),1,0.45,1.45
Kevin De Bruyne (Belgium),1,0.4,1.4
