Jogador,Assists_Fase_Grupos,Média_Assists_Mata_Mata,Média_Assists_Copa_Total
Michael Olise (France),3,1.93,4.93
Bruno Guimarães (Brazil),3,0.8,3.8
Alexander Isak (Sweden),3,0.24,3.24
Kylian Mbappé (France),2,1.05,3.05
Bukayo Saka (England),2,0.82,2.82
Denzel Dumfries (Netherlands),2,0.68,2.68
Joshua Kimmich (Germany),2,0.61,2.61
Ryan Gravenberch (Netherlands),2,0.58,2.58
Florian Wirtz (Germany),2,0.58,2.58
Iliman Ndiaye (Senegal),2,0.55,2.55
Martin Ødegaard (Norway),2,0.52,2.52
Brahim Díaz (Morocco),2,0.44,2.44
Breel Embolo (Switzerland),2,0.41,2.41
Roberto Alvarado (Mexico),2,0.4,2.4
Deniz Undav (Germany),2,0.38,2.38
Houssem Aouar (Algeria),2,0.37,2.37
Mohamed Salah (Egypt),2,0.2,2.2
Julio Enciso (Paraguay),2,0.2,2.2
Viktor Gyökeres (Sweden),2,0.18,2.18
Aurélien Tchouaméni (France),1,0.95,1.95
Mikel Oyarzabal (Spain),1,0.92,1.92
Adrien Rabiot (France),1,0.84,1.84
Bradley Barcola (France),1,0.78,1.78
Rodrigo De Paul (Argentina),1,0.76,1.76
Dani Olmo (Spain),1,0.69,1.69
Declan Rice (England),1,0.69,1.69
Marcos Llorente (Spain),1,0.68,1.68
Facundo Medina (Argentina),1,0.65,1.65
Ousmane Dembélé (France),1,0.6,1.6
Aymeric Laporte (Spain),1,0.57,1.57
Bruno Fernandes (Portugal),1,0.56,1.56
Jude Bellingham (England),1,0.51,1.51
Takefusa Kubo (Japan),1,0.46,1.46
Elliot Anderson (England),1,0.45,1.45
Memphis Depay (Netherlands),1,0.42,1.42
João Cancelo (Portugal),1,0.42,1.42
Sadio Mané (Senegal),1,0.39,1.39
Achraf Hakimi (Morocco),1,0.38,1.38
Paul Okon-Engstler (Australia),1,0.38,1.38
Luis Díaz (Colombia),1,0.37,1.37
