Confronto,Placar,Probabilidade (%)
Argentina x Cape Verde,1x0,23.47
Argentina x Cape Verde,2x0,21.08
Argentina x Cape Verde,0x0,13.28
Australia x Egypt,0x0,18.69
Australia x Egypt,1x0,18.32
Australia x Egypt,0x1,13.33
Belgium x Senegal,1x1,12.7
Belgium x Senegal,0x1,11.58
Belgium x Senegal,1x0,10.2
Brazil x Japan,1x0,14.22
Brazil x Japan,0x0,13.95
Brazil x Japan,1x1,13.57
Colombia x Ghana,1x0,23.27
Colombia x Ghana,2x0,17.27
Colombia x Ghana,0x0,15.49
England x Congo DR,2x0,18.23
England x Congo DR,1x0,17.89
England x Congo DR,3x0,12.41
France x Sweden,4x0,8.35
France x Sweden,3x0,8.35
France x Sweden,3x1,7.18
Germany x Paraguay,1x0,15.82
Germany x Paraguay,2x0,14.14
Germany x Paraguay,1x1,9.96
Ivory Coast x Norway,1x1,12.15
Ivory Coast x Norway,0x1,11.92
Ivory Coast x Norway,0x2,9.52
Mexico x Ecuador,0x0,32.78
Mexico x Ecuador,1x0,25.67
Mexico x Ecuador,0x1,10.67
Netherlands x Morocco,1x1,11.89
Netherlands x Morocco,1x0,9.61
Netherlands x Morocco,2x1,8.98
Portugal x Croatia,1x1,10.33
Portugal x Croatia,2x1,10.09
Portugal x Croatia,1x0,9.54
South Africa x Canada,1x1,10.58
South Africa x Canada,1x2,10.01
South Africa x Canada,0x2,9.68
Spain x Austria,2x0,13.82
Spain x Austria,3x0,11.56
Spain x Austria,1x0,10.86
Switzerland x Algeria,1x1,10.4
Switzerland x Algeria,2x1,9.63
Switzerland x Algeria,1x0,8.38
United States x Bosnia-Herzegovina,2x1,8.44
United States x Bosnia-Herzegovina,3x1,7.64
United States x Bosnia-Herzegovina,1x1,6.41
