Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 1,13.8
Algeria x Jordan,1 x 1,11.3
Argentina x Algeria,1 x 0,17.26
Argentina x Austria,1 x 0,20.74
Argentina x Jordan,2 x 0,17.34
Australia x Türkiye,1 x 0,15.04
Austria x Jordan,1 x 0,13.64
Belgium x Egypt,1 x 1,13.04
Belgium x Iran,1 x 1,12.36
Belgium x New Zealand,2 x 0,13.9
Bosnia & Herzegovina x Qatar,1 x 1,10.62
Bosnia & Herzegovina x Switzerland,0 x 2,10.12
Brazil x Haiti,3 x 0,12.12
Brazil x Morocco,0 x 1,15.46
Brazil x Scotland,2 x 0,12.98
Cabo Verde x Saudi Arabia,1 x 1,13.44
Cabo Verde x Uruguay,0 x 2,15.76
Canada x Bosnia & Herzegovina,2 x 1,8.78
Canada x Qatar,2 x 1,8.92
Canada x Switzerland,1 x 2,9.64
Croatia x Ghana,2 x 0,13.44
Croatia x Panama,2 x 0,10.32
Curaçao x Côte d'Ivoire,0 x 1,13.52
Curaçao x Ecuador,0 x 1,20.18
Côte d'Ivoire x Ecuador,0 x 0,22.42
DR Congo x Colombia,0 x 1,15.46
DR Congo x Uzbekistan,1 x 1,13.62
Egypt x Iran,1 x 1,12.24
Egypt x New Zealand,1 x 0,12.7
England x Croatia,1 x 0,15.44
England x Ghana,2 x 0,17.3
England x Panama,2 x 0,15.12
France x Iraq,2 x 0,12.82
France x Norway,1 x 1,9.74
France x Senegal,1 x 0,13.04
Germany x Curaçao,2 x 0,11.98
Germany x Côte d'Ivoire,1 x 0,12.84
Germany x Ecuador,1 x 0,19.6
Ghana x Panama,1 x 1,12.2
Haiti x Scotland,1 x 1,10.44
Iran x New Zealand,2 x 0,10.68
Iraq x Norway,0 x 2,11.08
Japan x Sweden,2 x 0,14.38
Japan x Tunisia,2 x 0,17.3
Mexico x Czechia,1 x 0,14.64
Mexico x South Africa,1 x 0,15.38
Mexico x South Korea,1 x 0,16.58
Morocco x Haiti,2 x 0,16.02
Morocco x Scotland,2 x 0,15.1
Netherlands x Japan,0 x 1,12.6
Netherlands x Sweden,2 x 0,10.44
Netherlands x Tunisia,1 x 0,12.84
Paraguay x Australia,0 x 0,23.34
Paraguay x Türkiye,0 x 1,15.1
Portugal x Colombia,1 x 1,12.08
Portugal x DR Congo,1 x 0,10.92
Portugal x Uzbekistan,2 x 1,9.84
Qatar x Switzerland,0 x 2,9.28
Saudi Arabia x Uruguay,0 x 1,18.52
Senegal x Iraq,1 x 0,17.16
Senegal x Norway,1 x 1,12.76
South Africa x Czechia,1 x 1,11.44
South Africa x South Korea,0 x 1,12.14
South Korea x Czechia,1 x 0,10.94
Spain x Cabo Verde,3 x 0,10.1
Spain x Saudi Arabia,3 x 0,14.06
Spain x Uruguay,1 x 0,11.6
Sweden x Tunisia,1 x 1,12.32
USA x Australia,1 x 1,14.14
USA x Paraguay,1 x 0,13.6
USA x Türkiye,1 x 1,9.78
Uzbekistan x Colombia,0 x 1,13.14
