Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,80.36,18.2,1.32,0.12,99.72,7.68
England,64.6,28.48,6.14,0.78,98.22,6.89
Argentina,72.34,19.44,6.76,1.46,97.54,6.89
Morocco,54.24,36.12,8.46,1.18,97.52,6.55
Japan,55.68,34.1,8.32,1.9,96.7,6.48
Switzerland,61.94,26.86,8.8,2.4,96.46,6.6
Brazil,41.06,45.6,11.5,1.84,96.22,6.05
France,52.76,27.4,15.92,3.92,94.1,6.02
Germany,57.74,24.56,13.32,4.38,93.7,6.0
Belgium,46.86,31.14,17.82,4.18,93.28,5.84
Netherlands,38.44,43.14,14.02,4.4,93.18,5.76
Uruguay,18.32,64.92,14.1,2.66,92.56,5.38
Mexico,51.38,30.08,13.42,5.12,92.3,5.9
Croatia,29.2,48.52,17.52,4.76,91.62,5.43
Portugal,45.66,31.24,15.22,7.88,89.46,5.59
Colombia,40.3,35.08,17.5,7.12,89.16,5.47
Iran,33.52,35.06,25.26,6.16,88.9,5.2
Canada,28.06,42.22,20.82,8.9,86.44,5.08
South Korea,33.62,35.22,20.0,11.16,84.34,5.04
Senegal,26.86,34.96,28.92,9.26,84.02,4.87
USA,41.46,26.8,18.52,13.22,82.74,5.01
Austria,17.42,41.28,26.9,14.4,78.36,4.38
Ecuador,20.14,34.6,31.92,13.34,77.56,4.37
Norway,18.36,31.36,35.64,14.64,76.72,4.24
Egypt,17.98,28.88,39.2,13.94,76.48,4.24
Australia,27.54,29.78,23.8,18.88,75.4,4.42
Côte d'Ivoire,18.8,30.08,33.54,17.58,73.42,4.07
Türkiye,17.88,23.06,27.1,31.96,60.32,3.56
Algeria,7.32,26.5,37.6,28.58,58.98,3.24
Paraguay,13.12,20.36,30.58,35.94,55.24,3.23
Panama,4.78,16.02,49.18,30.02,51.24,2.87
South Africa,8.7,18.42,34.64,38.24,51.16,2.96
Scotland,3.96,13.94,53.3,28.8,50.12,2.82
Qatar,6.08,17.34,37.52,39.06,47.28,2.83
Uzbekistan,7.94,17.3,33.74,41.02,46.36,2.84
DR Congo,6.1,16.38,33.54,43.98,44.06,2.66
Czechia,6.3,16.28,31.94,45.48,43.46,2.64
Tunisia,3.5,13.64,42.6,40.26,41.66,2.51
Bosnia & Herzegovina,3.92,13.58,32.86,49.64,36.9,2.38
Jordan,2.92,12.78,28.74,55.56,31.8,2.11
Sweden,2.38,9.12,35.06,53.44,30.88,2.04
Saudi Arabia,0.64,8.76,42.98,47.62,26.58,1.93
Curaçao,3.32,10.76,21.22,64.7,26.32,1.96
Cabo Verde,0.68,8.12,41.6,49.6,24.96,1.96
Ghana,1.42,6.98,27.16,64.44,21.92,1.63
Iraq,2.02,6.28,19.52,72.18,19.14,1.56
Haiti,0.74,4.34,26.74,68.18,18.3,1.45
New Zealand,1.64,4.92,17.72,75.72,17.2,1.44
