Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),13005,2.6
Kylian Mbappé (France),12912,2.58
Mehdi Taremi (Iran),11987,2.4
Brahim Díaz (Morocco),11109,2.22
Erling Haaland (Norway),11050,2.21
Breel Embolo (Switzerland),10225,2.04
Jonathan David (Canada),9716,1.94
Cristiano Ronaldo (Portugal),9213,1.84
Ayase Ueda (Japan),8637,1.73
Mikel Oyarzabal (Spain),7909,1.58
Mohamed Salah (Egypt),7877,1.58
Romelu Lukaku (Belgium),7621,1.52
Son Heung-min (South Korea),7439,1.49
Sadio Mané (Senegal),7027,1.41
Lionel Messi (Argentina),7035,1.41
Cody Gakpo (Netherlands),6996,1.4
Raúl Jiménez (Mexico),7007,1.4
Almoez Ali (Qatar),6823,1.36
Viktor Gyökeres (Sweden),6408,1.28
Mikel Merino (Spain),6256,1.25
Edin Džeko (Bosnia & Herzegovina),6011,1.2
Michael Gregoritsch (Austria),5527,1.11
Andrej Kramarić (Croatia),5382,1.08
Luis Díaz (Colombia),5207,1.04
Scott McTominay (Scotland),5094,1.02
Memphis Depay (Netherlands),4952,0.99
Mohamed Amoura (Algeria),4884,0.98
Enner Valencia (Ecuador),4600,0.92
Vinícius Júnior (Brazil),4463,0.89
Aymen Hussein (Iraq),4400,0.88
