Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),5270,1.05
Mikel Oyarzabal (Spain),4547,0.91
Junya Ito (Japan),4296,0.86
James Rodríguez (Colombia),3966,0.79
Takefusa Kubo (Japan),3873,0.77
Akram Afif (Qatar),3712,0.74
Achraf Hakimi (Morocco),3285,0.66
Nico Williams (Spain),3290,0.66
Remo Freuler (Switzerland),3283,0.66
Declan Rice (England),3103,0.62
Joshua Kimmich (Germany),3097,0.62
Rubén Vargas (Switzerland),3111,0.62
Fabián Ruiz (Spain),2983,0.6
Ivan Perišić (Croatia),3012,0.6
Kylian Mbappé (France),2994,0.6
Azzedine Ounahi (Morocco),2792,0.56
Lucas Paquetá (Brazil),2621,0.52
Saman Ghoddos (Iran),2620,0.52
Dan Ndoye (Switzerland),2589,0.52
Denzel Dumfries (Netherlands),2535,0.51
Kang-in Lee (South Korea),2537,0.51
Ali Ahmed (Canada),2467,0.49
Jérémy Doku (Belgium),2421,0.48
Jude Bellingham (England),2382,0.48
Bruno Fernandes (Portugal),2353,0.47
Luiz Henrique (Brazil),2364,0.47
Vinícius Júnior (Brazil),2279,0.46
Ferran Torres (Spain),2291,0.46
Bruno Guimarães (Brazil),2235,0.45
Pedri (Spain),2274,0.45
