Jogador,Probabilidade de Dar Assistência (%)
Endrick (Brazil),22.78
Zizo (Egypt),19.48
Lucas Paquetá (Brazil),16.13
Vinícius Júnior (Brazil),14.96
Bruno Guimarães (Brazil),11.75
Raphinha (Brazil),10.69
Rayan (Brazil),9.34
Mohamed Salah (Egypt),8.36
Mahmoud Trézéguet (Egypt),7.18
Casemiro (Brazil),5.85
Marwan Attia (Egypt),5.82
Mohamed Hany (Egypt),5.7
Gabriel Martinelli (Brazil),4.68
Danilo (Brazil),4.64
Danilo Oliveira (Brazil),4.64
Weverton (Brazil),4.61
Alex Sandro (Brazil),4.61
Bremer (Brazil),4.56
Roger Ibañez (Brazil),4.54
Fabinho (Brazil),4.53
Ibrahim Adel (Egypt),4.11
Igor Thiago (Brazil),3.66
Douglas Santos (Brazil),3.5
Hamdy Fathy (Egypt),3.13
Ahmed Fatouh (Egypt),2.4
Rami Rabia (Egypt),1.7
Mohamed El-Shenawy (Egypt),0.81
Marquinhos (Brazil),0.8
Alisson (Brazil),0.78
Mahmoud Saber (Egypt),0.77
