Jogador,Probabilidade de Marcar (%)
Gabriel Martinelli (Brazil),21.79
Raphinha (Brazil),21.45
Vinícius Júnior (Brazil),20.82
Mohamed Salah (Egypt),19.2
Endrick (Brazil),15.19
Rayan (Brazil),13.74
Lucas Paquetá (Brazil),13.15
Danilo Oliveira (Brazil),12.63
Ibrahim Adel (Egypt),11.04
Reservas/Outros (Brazil),10.58
Zizo (Egypt),10.23
Bremer (Brazil),7.91
Igor Thiago (Brazil),7.88
Mahmoud Trézéguet (Egypt),7.03
Casemiro (Brazil),5.97
Omar Marmoush (Egypt),5.84
Bruno Guimarães (Brazil),5.22
Reservas/Outros (Egypt),4.65
Marquinhos (Brazil),4.63
Hamdy Fathy (Egypt),3.79
Mostafa Ziko (Egypt),3.15
Gabriel Magalhães (Brazil),3.0
Rami Rabia (Egypt),2.78
Mahmoud Saber (Egypt),2.7
Mohamed Abdelmonem (Egypt),2.24
Ahmed Fatouh (Egypt),1.69
Roger Ibañez (Brazil),1.54
Weverton (Brazil),1.52
Fabinho (Brazil),1.52
Alex Sandro (Brazil),1.5
