Placar,Probabilidade (%)
1x0,13.59
2x0,11.65
1x1,10.86
2x1,9.52
0x0,7.85
3x0,6.82
0x1,6.42
3x1,5.6
1x2,4.51
2x2,3.95
4x0,2.95
0x2,2.58
4x1,2.43
3x2,2.25
1x3,1.19
2x3,1.1
5x0,1.03
4x2,0.99
5x1,0.84
0x3,0.72
3x3,0.57
5x2,0.32
6x0,0.29
4x3,0.27
6x1,0.25
1x4,0.25
2x4,0.24
0x4,0.17
3x4,0.12
6x2,0.11
5x3,0.08
1x5,0.06
7x0,0.06
7x1,0.06
4x4,0.05
2x5,0.04
7x2,0.03
0x5,0.03
6x3,0.03
8x0,0.02
3x5,0.02
5x4,0.02
6x4,0.01
8x2,0.01
7x3,0.01
4x5,0.01
8x1,0.01
10x0,0.0
4x6,0.0
1x6,0.0
1x7,0.0
9x0,0.0
5x5,0.0
9x3,0.0
0x6,0.0
2x6,0.0
5x7,0.0
9x1,0.0
6x5,0.0
9x2,0.0
3x6,0.0
10x1,0.0
