Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),55.67
Vinícius Júnior (Brazil),39.64
Omar Marmoush (Egypt),26.8
Mahmoud Trézéguet (Egypt),23.43
Igor Thiago (Brazil),19.24
Luiz Henrique (Brazil),13.87
Casemiro (Brazil),11.06
Bruno Guimarães (Brazil),9.88
Rami Rabia (Egypt),9.3
Marquinhos (Brazil),8.66
Zizo (Egypt),7.46
Reservas/Outros (Brazil),5.85
Gabriel Magalhães (Brazil),5.67
Yasser Ibrahim (Egypt),4.6
Marwan Attia (Egypt),4.58
Reservas/Outros (Egypt),2.82
Douglas Santos (Brazil),1.19
Alisson (Brazil),1.17
Wesley (Brazil),1.12
Mohanad Lasheen (Egypt),0.58
Emam Ashour (Egypt),0.58
Mostafa Shobeir (Egypt),0.57
Mohamed Hany (Egypt),0.56
Karim Hafez (Egypt),0.56
