Placar,Probabilidade (%)
1x0,13.66
2x0,11.69
1x1,10.87
2x1,9.61
0x0,7.9
3x0,6.77
0x1,6.34
3x1,5.43
1x2,4.48
2x2,3.95
4x0,2.88
0x2,2.65
4x1,2.3
3x2,2.24
1x3,1.25
2x3,1.14
5x0,1.06
4x2,0.96
5x1,0.84
0x3,0.71
3x3,0.63
5x2,0.34
6x0,0.33
1x4,0.27
6x1,0.25
4x3,0.24
2x4,0.22
0x4,0.16
3x4,0.13
5x3,0.1
7x0,0.09
6x2,0.08
4x4,0.06
7x1,0.06
1x5,0.05
2x5,0.04
6x3,0.03
7x2,0.03
8x0,0.02
0x5,0.02
3x5,0.02
5x4,0.02
8x1,0.01
1x6,0.01
2x6,0.01
8x2,0.01
6x4,0.01
7x3,0.01
4x5,0.01
8x3,0.0
10x1,0.0
8x4,0.0
9x3,0.0
5x5,0.0
0x6,0.0
2x7,0.0
4x6,0.0
9x1,0.0
3x6,0.0
9x0,0.0
5x6,0.0
