Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.45
Zizo (Egypt),19.49
Vinícius Júnior (Brazil),15.35
Luiz Henrique (Brazil),14.29
Endrick (Brazil),13.49
Bruno Guimarães (Brazil),12.24
Raphinha (Brazil),10.59
Mohamed Salah (Egypt),8.43
Mahmoud Trézéguet (Egypt),7.3
Marwan Attia (Egypt),6.05
Casemiro (Brazil),5.89
Mohamed Hany (Egypt),5.67
Ibrahim Adel (Egypt),3.97
Douglas Santos (Brazil),3.67
Igor Thiago (Brazil),3.66
Hamdy Fathy (Egypt),3.22
Gabriel Martinelli (Brazil),2.83
Bremer (Brazil),2.83
Rayan (Brazil),2.83
Léo Pereira (Brazil),2.79
Weverton (Brazil),2.79
Alex Sandro (Brazil),2.77
Fabinho (Brazil),2.77
Danilo (Brazil),2.74
Danilo Oliveira (Brazil),2.73
Ahmed Fatouh (Egypt),2.44
Rami Rabia (Egypt),1.7
Alisson (Brazil),0.81
Hossam Abdelmaguid (Egypt),0.8
Marquinhos (Brazil),0.8
