Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),29.98
Gabriel Martinelli (Brazil),19.93
Vinícius Júnior (Brazil),19.64
Mohamed Salah (Egypt),18.17
Matheus Cunha (Brazil),17.92
Ibrahim Adel (Egypt),11.82
Danilo Oliveira (Brazil),11.56
Zizo (Egypt),10.88
Reservas/Outros (Brazil),9.88
Endrick (Brazil),9.61
Omar Marmoush (Egypt),8.18
Igor Thiago (Brazil),7.21
Bremer (Brazil),7.11
Luiz Henrique (Brazil),6.97
Mahmoud Trézéguet (Egypt),6.69
Rayan (Brazil),6.28
Casemiro (Brazil),5.45
Reservas/Outros (Egypt),5.0
Bruno Guimarães (Brazil),4.94
Marquinhos (Brazil),4.33
Hamdy Fathy (Egypt),3.98
Mahmoud Saber (Egypt),2.86
Gabriel Magalhães (Brazil),2.73
Rami Rabia (Egypt),2.6
Mohamed Abdelmonem (Egypt),2.33
Ahmed Fatouh (Egypt),1.52
Léo Pereira (Brazil),1.42
Alex Sandro (Brazil),1.42
Danilo (Brazil),1.39
Fabinho (Brazil),1.33
