Placar,Probabilidade (%)
1x0,13.6
2x0,11.62
1x1,11.18
2x1,9.41
0x0,7.85
3x0,6.63
0x1,6.41
3x1,5.5
1x2,4.62
2x2,4.01
4x0,2.87
0x2,2.59
4x1,2.41
3x2,2.33
1x3,1.2
2x3,1.07
5x0,0.99
4x2,0.95
5x1,0.81
0x3,0.77
3x3,0.58
5x2,0.36
4x3,0.29
1x4,0.27
6x0,0.27
6x1,0.23
2x4,0.22
0x4,0.16
3x4,0.12
6x2,0.09
5x3,0.09
7x0,0.08
7x1,0.07
4x4,0.06
2x5,0.04
1x5,0.04
6x3,0.03
0x5,0.03
7x2,0.03
3x5,0.02
8x1,0.01
4x5,0.01
7x3,0.01
8x2,0.01
5x4,0.01
8x0,0.01
1x6,0.0
10x1,0.0
9x1,0.0
9x0,0.0
9x2,0.0
3x6,0.0
9x3,0.0
8x3,0.0
7x4,0.0
1x7,0.0
0x8,0.0
2x6,0.0
5x5,0.0
0x6,0.0
6x4,0.0
6x5,0.0
