Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),59.53
Vinícius Júnior (Brazil),39.47
Mohamed Salah (Egypt),38.67
Igor Thiago (Brazil),14.81
Mahmoud Trézéguet (Egypt),14.15
Luiz Henrique (Brazil),13.94
Omar Marmoush (Egypt),11.89
Casemiro (Brazil),10.99
Bruno Guimarães (Brazil),10.04
Marquinhos (Brazil),8.88
Reservas/Outros (Brazil),6.08
Rami Rabia (Egypt),5.66
Gabriel Magalhães (Brazil),5.54
Zizo (Egypt),4.43
Marwan Attia (Egypt),2.72
Reservas/Outros (Egypt),1.73
Wesley (Brazil),1.22
Douglas Santos (Brazil),1.2
Alisson (Brazil),1.19
Mohamed Abdelmonem (Egypt),0.96
Mohamed El Shenawy (Egypt),0.33
Mohamed Hamdi (Egypt),0.33
Hamdi Fathy (Egypt),0.33
Mohamed Hany (Egypt),0.31
