Placar,Probabilidade (%)
1x0,13.66
2x0,11.69
1x1,11.04
2x1,9.66
0x0,7.76
3x0,6.83
0x1,6.4
3x1,5.46
1x2,4.55
2x2,3.95
4x0,2.97
0x2,2.57
4x1,2.33
3x2,2.25
1x3,1.26
2x3,1.05
5x0,1.04
4x2,0.97
5x1,0.81
0x3,0.67
3x3,0.62
5x2,0.34
6x0,0.29
1x4,0.24
4x3,0.24
2x4,0.24
6x1,0.22
0x4,0.16
3x4,0.14
6x2,0.09
5x3,0.08
7x0,0.07
4x4,0.05
7x1,0.05
1x5,0.05
6x3,0.03
2x5,0.03
3x5,0.02
5x4,0.02
7x2,0.02
0x5,0.02
8x0,0.02
2x6,0.01
8x1,0.01
0x6,0.01
4x5,0.01
7x3,0.01
6x4,0.01
2x9,0.0
8x3,0.0
10x1,0.0
4x7,0.0
10x2,0.0
10x0,0.0
9x0,0.0
8x2,0.0
9x1,0.0
9x3,0.0
5x5,0.0
3x6,0.0
1x6,0.0
7x4,0.0
