Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 2,17.25
Algeria x Jordan,2 x 0,12.9
Argentina x Algeria,2 x 0,20.95
Argentina x Austria,0 x 0,33.3
Argentina x Jordan,3 x 0,19.6
Australia x Türkiye,0 x 0,25.3
Austria x Jordan,2 x 0,18.55
Belgium x Egypt,1 x 0,19.85
Belgium x Iran,2 x 0,13.95
Belgium x New Zealand,3 x 0,19.35
Bosnia & Herzegovina x Qatar,2 x 0,13.95
Bosnia & Herzegovina x Switzerland,0 x 1,17.75
Brazil x Haiti,1 x 0,16.45
Brazil x Morocco,0 x 0,20.55
Brazil x Scotland,0 x 0,18.3
Cabo Verde x Saudi Arabia,0 x 2,15.7
Cabo Verde x Uruguay,0 x 6,14.6
Canada x Bosnia & Herzegovina,0 x 1,14.95
Canada x Qatar,2 x 0,14.45
Canada x Switzerland,0 x 1,18.5
Croatia x Ghana,10 x 0,11.7
Croatia x Panama,2 x 0,14.55
Curaçao x Côte d'Ivoire,1 x 1,14.2
Curaçao x Ecuador,0 x 0,29.9
Côte d'Ivoire x Ecuador,0 x 0,33.8
DR Congo x Colombia,0 x 1,21.2
DR Congo x Uzbekistan,0 x 1,14.9
Egypt x Iran,1 x 1,12.6
Egypt x New Zealand,1 x 0,23.55
England x Croatia,1 x 0,22.1
England x Ghana,10 x 0,12.55
England x Panama,2 x 0,19.85
France x Iraq,2 x 0,17.1
France x Norway,0 x 1,17.2
France x Senegal,2 x 0,19.6
Germany x Curaçao,2 x 0,14.35
Germany x Côte d'Ivoire,2 x 0,17.85
Germany x Ecuador,0 x 0,34.65
Ghana x Panama,0 x 6,13.85
Haiti x Scotland,0 x 1,16.7
Iran x New Zealand,2 x 0,17.7
Iraq x Norway,0 x 3,17.15
Japan x Sweden,3 x 0,17.55
Japan x Tunisia,2 x 0,21.05
Mexico x Czechia,0 x 0,22.55
Mexico x South Africa,1 x 0,22.85
Mexico x South Korea,0 x 0,27.9
Morocco x Haiti,1 x 0,17.15
Morocco x Scotland,0 x 0,20.95
Netherlands x Japan,1 x 0,21.85
Netherlands x Sweden,4 x 0,14.3
Netherlands x Tunisia,3 x 0,16.3
Paraguay x Australia,0 x 0,39.2
Paraguay x Türkiye,0 x 0,29.75
Portugal x Colombia,0 x 0,18.8
Portugal x DR Congo,2 x 0,15.55
Portugal x Uzbekistan,2 x 0,14.75
Qatar x Switzerland,0 x 2,14.75
Saudi Arabia x Uruguay,0 x 1,24.3
Senegal x Iraq,1 x 0,13.9
Senegal x Norway,0 x 2,17.65
South Africa x Czechia,0 x 2,17.7
South Africa x South Korea,0 x 1,17.6
South Korea x Czechia,0 x 1,18.35
Spain x Cabo Verde,14 x 0,9.1
Spain x Saudi Arabia,4 x 0,16.1
Spain x Uruguay,1 x 0,21.1
Sweden x Tunisia,0 x 1,14.95
USA x Australia,0 x 0,19.3
USA x Paraguay,0 x 0,25.75
USA x Türkiye,0 x 1,17.1
Uzbekistan x Colombia,0 x 1,19.6
