Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Netherlands,73.3,26.1,0.6,0.0,100.0,7.57
Croatia,27.55,58.05,14.4,0.0,100.0,6.03
England,69.45,25.3,5.25,0.0,100.0,7.3
Uruguay,21.5,75.8,2.7,0.0,100.0,6.47
Spain,78.25,21.1,0.65,0.0,100.0,7.67
Belgium,86.8,11.75,1.45,0.0,99.95,7.86
Argentina,68.6,28.2,3.0,0.2,99.65,7.17
Japan,26.6,70.05,3.2,0.15,99.2,6.47
Norway,54.85,40.1,4.5,0.55,98.5,6.73
Austria,30.0,60.55,8.8,0.65,98.3,6.04
France,43.1,49.35,6.55,1.0,98.15,6.37
Portugal,55.05,36.9,7.0,1.05,98.05,6.5
Panama,3.0,16.65,80.35,0.0,98.05,3.92
Germany,74.8,17.85,5.95,1.4,97.95,6.63
Switzerland,63.35,24.35,10.45,1.85,97.1,6.59
Colombia,41.15,47.65,9.3,1.9,96.35,6.16
Czechia,60.65,24.4,11.1,3.85,95.1,6.12
Iran,8.45,53.4,34.4,3.75,88.65,4.57
Türkiye,51.0,25.2,14.8,9.0,86.95,5.31
Bosnia & Herzegovina,21.75,38.55,32.25,7.45,86.05,4.74
Brazil,37.2,29.75,20.15,12.9,83.1,4.82
Mexico,22.4,36.55,29.65,11.4,80.25,4.45
Ecuador,15.15,42.6,29.05,13.2,77.65,4.19
Canada,13.75,32.25,40.55,13.45,77.55,4.08
Scotland,29.15,27.6,25.15,18.1,76.2,4.4
Egypt,4.7,33.5,53.45,8.35,74.75,3.84
South Korea,14.5,29.7,36.25,19.55,70.95,3.79
Morocco,21.7,25.45,28.65,24.2,69.1,3.98
Australia,18.6,27.7,27.95,25.75,66.85,3.74
Paraguay,15.05,23.9,30.2,30.85,59.75,3.39
Saudi Arabia,0.25,3.1,91.8,4.85,56.15,2.91
USA,15.35,23.2,27.05,34.4,56.15,3.31
Algeria,1.4,9.9,66.8,21.9,54.4,2.73
Côte d'Ivoire,6.15,21.55,34.35,37.95,50.2,2.83
Haiti,11.95,17.2,26.05,44.8,47.35,2.9
Uzbekistan,2.65,10.0,49.45,37.9,43.4,2.43
Curaçao,3.9,18.0,30.65,47.45,41.45,2.44
Senegal,1.65,6.5,52.25,39.6,36.45,2.17
Tunisia,0.1,3.0,66.2,30.7,29.55,2.02
South Africa,2.45,9.35,23.0,65.2,26.85,1.87
DR Congo,1.15,5.45,34.25,59.15,23.25,1.65
Iraq,0.4,4.05,36.7,58.85,21.75,1.6
Qatar,1.15,4.85,16.75,77.25,15.75,1.29
Jordan,0.0,1.35,21.4,77.25,9.75,0.96
Sweden,0.0,0.85,30.0,69.15,8.4,1.09
New Zealand,0.05,1.35,10.7,87.9,4.45,0.73
Cabo Verde,0.0,0.0,4.85,95.15,0.55,0.28
Ghana,0.0,0.0,0.0,100.0,0.0,0.0
