Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),11423,5.71
Mikel Oyarzabal (Spain),8584,4.29
Andrej Kramarić (Croatia),6669,3.33
Kylian Mbappé (France),5487,2.74
Erling Haaland (Norway),5408,2.7
Dani Olmo (Spain),5407,2.7
Mikel Merino (Spain),4931,2.47
Darwin Núñez (Uruguay),4592,2.3
Bukayo Saka (England),4259,2.13
Memphis Depay (Netherlands),4080,2.04
Romelu Lukaku (Belgium),3927,1.96
Cody Gakpo (Netherlands),3902,1.95
Rodri (Spain),3896,1.95
Mehdi Taremi (Iran),3586,1.79
Cristiano Ronaldo (Portugal),3392,1.7
Luka Modrić (Croatia),3386,1.69
Federico Valverde (Uruguay),3368,1.68
Kevin De Bruyne (Belgium),3265,1.63
Ferran Torres (Spain),3011,1.51
Lionel Messi (Argentina),2887,1.44
Ismael Díaz (Panama),2702,1.35
Lautaro Martínez (Argentina),2640,1.32
Ayase Ueda (Japan),2633,1.32
Kai Havertz (Germany),2629,1.31
Edin Džeko (Bosnia & Herzegovina),2618,1.31
Breel Embolo (Switzerland),2470,1.24
Virgil van Dijk (Netherlands),2467,1.23
Lamine Yamal (Spain),2445,1.22
Luis Díaz (Colombia),2381,1.19
Jonathan David (Canada),2270,1.14
