Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),7340,3.67
Mikel Oyarzabal (Spain),5406,2.7
Ivan Perišić (Croatia),5297,2.65
Declan Rice (England),4854,2.43
Marc Guéhi (England),4537,2.27
Nico Williams (Spain),4247,2.12
Jude Bellingham (England),3903,1.95
Denzel Dumfries (Netherlands),3873,1.94
Fabián Ruiz (Spain),3724,1.86
Ferran Torres (Spain),3684,1.84
Junya Ito (Japan),3292,1.65
Takefusa Kubo (Japan),3144,1.57
Maximiliano Araújo (Uruguay),2977,1.49
Marco Pašalić (Croatia),2943,1.47
Luka Modrić (Croatia),2809,1.4
Cody Gakpo (Netherlands),2774,1.39
Memphis Depay (Netherlands),2448,1.22
James Rodríguez (Colombia),2445,1.22
Jérémy Doku (Belgium),2427,1.21
Éric Davis (Panama),2398,1.2
Noni Madueke (England),2383,1.19
Salem Al-Dawsari (Saudi Arabia),2336,1.17
Facundo Pellistri (Uruguay),2330,1.16
Mario Pašalić (Croatia),2304,1.15
Federico Viñas (Uruguay),2226,1.11
Pedri (Spain),2182,1.09
Alexis Saelemaekers (Belgium),2141,1.07
Joshua Kimmich (Germany),2084,1.04
Amir Murillo (Panama),2037,1.02
Bruno Fernandes (Portugal),1973,0.99
