Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),60.13
Mohamed Salah (Egypt),46.68
Vinícius Júnior (Brazil),39.8
Igor Thiago (Brazil),14.88
Omar Marmoush (Egypt),14.27
Luiz Henrique (Brazil),13.8
Casemiro (Brazil),11.21
Bruno Guimarães (Brazil),9.95
Marquinhos (Brazil),8.84
Rami Rabia (Egypt),6.83
Reservas/Outros (Brazil),5.89
Gabriel Magalhães (Brazil),5.53
Zizo (Egypt),5.37
Marwan Attia (Egypt),3.48
Reservas/Outros (Egypt),2.12
Wesley (Brazil),1.23
Douglas Santos (Brazil),1.21
Alisson (Brazil),1.21
Mohamed Abdelmonem (Egypt),1.15
Mohamed Hany (Egypt),0.44
Mohamed El Shenawy (Egypt),0.43
Mohamed Hamdi (Egypt),0.42
Trézéguet (Egypt),0.42
Hamdi Fathy (Egypt),0.38
