Placar,Probabilidade (%)
1x0,13.39
2x0,11.63
1x1,11.0
2x1,9.52
0x0,7.87
3x0,6.82
0x1,6.34
3x1,5.47
1x2,4.5
2x2,3.93
4x0,3.02
0x2,2.64
4x1,2.47
3x2,2.29
1x3,1.24
2x3,1.13
5x0,1.07
4x2,0.98
5x1,0.87
0x3,0.69
3x3,0.62
5x2,0.31
6x0,0.27
1x4,0.26
4x3,0.25
2x4,0.24
6x1,0.22
0x4,0.16
3x4,0.12
6x2,0.11
5x3,0.08
7x0,0.07
4x4,0.06
7x1,0.05
1x5,0.05
2x5,0.03
7x2,0.03
6x3,0.03
0x5,0.03
8x0,0.02
3x5,0.02
8x1,0.02
5x4,0.02
0x6,0.01
1x6,0.01
7x3,0.01
4x5,0.01
2x6,0.01
8x2,0.01
10x0,0.0
5x5,0.0
9x2,0.0
6x5,0.0
9x0,0.0
3x6,0.0
4x6,0.0
6x4,0.0
1x7,0.0
9x1,0.0
