Placar,Probabilidade (%)
1x0,13.28
2x0,11.79
1x1,11.11
2x1,9.54
0x0,7.86
3x0,6.71
0x1,6.44
3x1,5.61
1x2,4.46
2x2,3.96
4x0,2.99
0x2,2.61
4x1,2.43
3x2,2.23
1x3,1.24
2x3,1.09
4x2,0.99
5x0,0.97
0x3,0.77
5x1,0.74
3x3,0.62
5x2,0.35
6x0,0.3
4x3,0.27
1x4,0.24
6x1,0.22
2x4,0.21
0x4,0.14
3x4,0.12
6x2,0.1
7x0,0.08
5x3,0.08
4x4,0.06
7x1,0.06
1x5,0.06
6x3,0.04
2x5,0.04
0x5,0.03
7x2,0.03
3x5,0.02
8x1,0.02
8x0,0.02
9x1,0.01
0x6,0.01
8x2,0.01
4x5,0.01
5x4,0.01
6x4,0.01
2x6,0.0
10x0,0.0
5x5,0.0
5x6,0.0
1x6,0.0
2x7,0.0
8x3,0.0
7x4,0.0
8x4,0.0
3x6,0.0
7x3,0.0
3x7,0.0
9x0,0.0
0x7,0.0
9x2,0.0
