Jogador,Gols_Fase_Grupos,Média_Gols_Mata_Mata,Média_Gols_Copa_Total
Lionel Messi (Argentina),6,3.45,9.45
Kylian Mbappé (France),4,4.85,8.85
Ousmane Dembélé (France),4,1.79,5.79
Erling Haaland (Norway),4,1.63,5.63
Vinícius Júnior (Brazil),4,1.04,5.04
Jonathan David (Canada),3,1.38,4.38
Ismaïla Sarr (Senegal),3,1.12,4.12
Ismael Saibari (Morocco),3,1.08,4.08
Harry Kane (England),2,2.01,4.01
Johan Manzambi (Switzerland),3,0.85,3.85
Desconhecido (United States),0,3.83,3.83
Mikel Oyarzabal (Spain),2,1.77,3.77
Brian Brobbey (Netherlands),3,0.55,3.55
Matheus Cunha (Brazil),3,0.46,3.46
Deniz Undav (Germany),3,0.42,3.42
Cristiano Ronaldo (Portugal),2,1.29,3.29
Cody Gakpo (Netherlands),2,1.23,3.23
Ayase Ueda (Japan),2,0.82,2.82
Riyad Mahrez (Algeria),2,0.59,2.59
Jude Bellingham (England),2,0.58,2.58
Daniel Muñoz (Colombia),2,0.45,2.45
Crysencio Summerville (Netherlands),2,0.4,2.4
Pape Gueye (Senegal),2,0.39,2.39
Rubén Vargas (Switzerland),2,0.37,2.37
Daichi Kamada (Japan),2,0.37,2.37
Anthony Elanga (Sweden),2,0.34,2.34
Leandro Trossard (Belgium),2,0.3,2.3
Cyle Larin (Canada),2,0.29,2.29
Julián Quiñones (Mexico),2,0.24,2.24
Yasin Ayari (Sweden),2,0.13,2.13
Luis Díaz (Colombia),1,0.9,1.9
Lamine Yamal (Spain),1,0.84,1.84
Romelu Lukaku (Belgium),1,0.69,1.69
Bradley Barcola (France),1,0.65,1.65
Kai Havertz (Germany),1,0.58,1.58
Désiré Doué (France),1,0.58,1.58
Desconhecido (Bosnia-Herzegovina),0,1.55,1.55
Raúl Jiménez (Mexico),1,0.54,1.54
Nestory Irankunda (Australia),1,0.44,1.44
Kevin De Bruyne (Belgium),1,0.4,1.4
