Jogador,Assists_Fase_Grupos,Média_Assists_Mata_Mata,Média_Assists_Copa_Total
Michael Olise (France),3,1.9,4.9
Bruno Guimarães (Brazil),3,0.81,3.81
Alexander Isak (Sweden),3,0.23,3.23
Kylian Mbappé (France),2,1.1,3.1
Bukayo Saka (England),2,0.81,2.81
Denzel Dumfries (Netherlands),2,0.69,2.69
Ryan Gravenberch (Netherlands),2,0.6,2.6
Joshua Kimmich (Germany),2,0.59,2.59
Florian Wirtz (Germany),2,0.57,2.57
Iliman Ndiaye (Senegal),2,0.54,2.54
Martin Ødegaard (Norway),2,0.53,2.53
Brahim Díaz (Morocco),2,0.44,2.44
Breel Embolo (Switzerland),2,0.42,2.42
Roberto Alvarado (Mexico),2,0.42,2.42
Deniz Undav (Germany),2,0.37,2.37
Houssem Aouar (Algeria),2,0.36,2.36
Julio Enciso (Paraguay),2,0.21,2.21
Mohamed Salah (Egypt),2,0.2,2.2
Viktor Gyökeres (Sweden),2,0.18,2.18
Aurélien Tchouaméni (France),1,0.98,1.98
Mikel Oyarzabal (Spain),1,0.93,1.93
Adrien Rabiot (France),1,0.83,1.83
Bradley Barcola (France),1,0.81,1.81
Rodrigo De Paul (Argentina),1,0.78,1.78
Dani Olmo (Spain),1,0.69,1.69
Declan Rice (England),1,0.69,1.69
Marcos Llorente (Spain),1,0.67,1.67
Facundo Medina (Argentina),1,0.65,1.65
Ousmane Dembélé (France),1,0.59,1.59
Aymeric Laporte (Spain),1,0.57,1.57
Bruno Fernandes (Portugal),1,0.52,1.52
Jude Bellingham (England),1,0.5,1.5
Elliot Anderson (England),1,0.46,1.46
Takefusa Kubo (Japan),1,0.45,1.45
Memphis Depay (Netherlands),1,0.42,1.42
Sadio Mané (Senegal),1,0.39,1.39
João Cancelo (Portugal),1,0.39,1.39
Achraf Hakimi (Morocco),1,0.37,1.37
Luis Díaz (Colombia),1,0.36,1.36
Paul Okon-Engstler (Australia),1,0.36,1.36
