Seleção,Passa 1ª Fase (%),Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,92.61,77.71,60.85,38.2,38.2,22.48
Spain,88.76,66.64,56.19,36.72,36.72,21.85
France,94.73,76.92,58.24,33.71,33.71,18.71
England,90.85,55.37,35.31,19.45,19.45,10.15
Mexico,69.8,33.94,19.65,9.75,9.75,4.53
Brazil,53.12,40.66,19.59,9.48,9.48,4.29
Colombia,82.87,57.7,21.8,9.12,9.12,3.35
Japan,46.88,34.87,15.94,7.23,7.23,3.01
Portugal,67.3,23.26,16.05,6.93,6.93,2.83
Netherlands,57.6,47.02,17.88,7.22,7.22,2.8
Morocco,42.4,31.06,10.36,3.77,3.77,1.29
Senegal,53.07,41.15,11.27,3.6,3.6,1.13
Germany,79.32,19.63,9.6,3.05,3.05,0.89
Belgium,46.93,34.26,9.01,2.78,2.78,0.83
Australia,56.97,13.34,5.87,1.81,1.81,0.43
Switzerland,64.47,26.59,6.21,1.57,1.57,0.3
Norway,67.7,18.11,4.67,1.24,1.24,0.27
Ecuador,30.2,8.96,3.3,0.99,0.99,0.25
Croatia,32.7,6.71,3.57,0.97,0.97,0.25
Canada,68.89,17.1,2.73,0.51,0.51,0.1
Egypt,43.03,6.64,2.38,0.48,0.48,0.08
Austria,11.24,3.38,1.51,0.29,0.29,0.06
United States,75.89,21.64,2.29,0.28,0.28,0.04
Ivory Coast,32.3,6.36,1.23,0.21,0.21,0.03
Algeria,35.53,10.76,1.7,0.27,0.27,0.03
Paraguay,20.68,1.98,0.42,0.07,0.07,0.01
Ghana,17.13,4.95,0.63,0.08,0.08,0.01
Cape Verde,7.39,2.31,0.56,0.07,0.07,0.01
Sweden,5.27,1.47,0.31,0.04,0.04,0.01
Congo DR,9.15,1.73,0.3,0.04,0.04,0.0
South Africa,31.11,4.81,0.46,0.04,0.04,0.0
Bosnia-Herzegovina,24.11,2.94,0.11,0.0,0.0,0.0
