Confronto,Placar,Probabilidade (%)
Argentina x Cape Verde,1x0,23.2
Argentina x Cape Verde,2x0,21.46
Argentina x Cape Verde,3x0,13.21
Australia x Egypt,0x0,19.28
Australia x Egypt,1x0,17.97
Australia x Egypt,0x1,13.7
Belgium x Senegal,1x1,13.12
Belgium x Senegal,0x1,11.98
Belgium x Senegal,1x0,10.46
Brazil x Japan,0x0,14.7
Brazil x Japan,1x0,14.43
Brazil x Japan,0x1,13.71
Colombia x Ghana,1x0,23.51
Colombia x Ghana,2x0,16.91
Colombia x Ghana,0x0,16.26
England x Congo DR,2x0,18.68
England x Congo DR,1x0,17.78
England x Congo DR,3x0,12.99
France x Sweden,3x0,8.77
France x Sweden,4x0,8.55
France x Sweden,3x1,7.22
Germany x Paraguay,1x0,15.82
Germany x Paraguay,2x0,13.95
Germany x Paraguay,1x1,10.14
Ivory Coast x Norway,0x1,12.13
Ivory Coast x Norway,1x1,11.85
Ivory Coast x Norway,0x2,9.66
Mexico x Ecuador,0x0,32.0
Mexico x Ecuador,1x0,26.21
Mexico x Ecuador,2x0,10.59
Netherlands x Morocco,1x1,11.79
Netherlands x Morocco,1x0,9.33
Netherlands x Morocco,2x1,9.31
Portugal x Croatia,1x1,10.75
Portugal x Croatia,2x1,9.91
Portugal x Croatia,1x0,9.85
South Africa x Canada,1x1,10.7
South Africa x Canada,0x1,10.18
South Africa x Canada,1x2,9.82
Spain x Austria,2x0,13.83
Spain x Austria,3x0,11.4
Spain x Austria,1x0,11.22
Switzerland x Algeria,1x1,10.51
Switzerland x Algeria,2x1,9.84
Switzerland x Algeria,1x0,8.46
United States x Bosnia-Herzegovina,2x1,8.67
United States x Bosnia-Herzegovina,3x1,7.72
United States x Bosnia-Herzegovina,1x1,6.52
