Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.67
Vinícius Júnior (Brazil),15.44
Luiz Henrique (Brazil),14.31
Endrick (Brazil),13.68
Zizo (Egypt),13.41
Bruno Guimarães (Brazil),12.35
Emam Ashour (Egypt),11.15
Raphinha (Brazil),10.65
Mohamed Salah (Egypt),8.41
Mahmoud Trézéguet (Egypt),7.51
Casemiro (Brazil),6.05
Marwan Attia (Egypt),5.94
Mohamed Hany (Egypt),5.48
Igor Thiago (Brazil),3.63
Douglas Santos (Brazil),3.62
Gabriel Martinelli (Brazil),2.84
Danilo Oliveira (Brazil),2.83
Rayan (Brazil),2.82
Bremer (Brazil),2.81
Fabinho (Brazil),2.77
Alex Sandro (Brazil),2.77
Roger Ibañez (Brazil),2.77
Danilo (Brazil),2.74
Ibrahim Adel (Egypt),2.72
Weverton (Brazil),2.7
Ahmed Fatouh (Egypt),2.35
Hamdy Fathy (Egypt),2.12
Rami Rabia (Egypt),1.63
Gabriel Magalhães (Brazil),0.83
Marquinhos (Brazil),0.81
