Jogador,Probabilidade de Marcar (%)
Raphinha (Brazil),22.83
Vinícius Júnior (Brazil),22.2
Mohamed Salah (Egypt),19.19
Gabriel Martinelli (Brazil),18.9
Matheus Cunha (Brazil),17.32
Endrick (Brazil),13.19
Ibrahim Adel (Egypt),11.87
Danilo Oliveira (Brazil),11.01
Zizo (Egypt),10.9
Reservas/Outros (Brazil),9.78
Igor Thiago (Brazil),8.18
Luiz Henrique (Brazil),7.85
Mahmoud Trézéguet (Egypt),7.16
Bremer (Brazil),6.98
Casemiro (Brazil),6.23
Rayan (Brazil),6.15
Omar Marmoush (Egypt),5.79
Bruno Guimarães (Brazil),5.63
Reservas/Outros (Egypt),5.01
Marquinhos (Brazil),4.92
Hamdy Fathy (Egypt),3.92
Gabriel Magalhães (Brazil),3.3
Mahmoud Saber (Egypt),2.89
Rami Rabia (Egypt),2.82
Mohamed Abdelmonem (Egypt),2.46
Ahmed Fatouh (Egypt),1.69
Marwan Attia (Egypt),1.44
Weverton (Brazil),1.35
Yasser Ibrahim (Egypt),1.35
Fabinho (Brazil),1.31
