Placar,Probabilidade (%)
1x0,13.59
2x0,11.73
1x1,11.04
2x1,9.62
0x0,7.73
3x0,6.65
0x1,6.34
3x1,5.45
1x2,4.5
2x2,4.02
4x0,2.97
0x2,2.63
4x1,2.36
3x2,2.28
1x3,1.31
2x3,1.1
5x0,1.05
4x2,0.91
5x1,0.86
0x3,0.7
3x3,0.62
5x2,0.38
1x4,0.28
6x0,0.27
4x3,0.25
6x1,0.22
2x4,0.21
0x4,0.15
3x4,0.12
5x3,0.1
6x2,0.09
7x0,0.08
4x4,0.06
7x1,0.05
2x5,0.04
1x5,0.03
7x2,0.03
0x5,0.03
6x3,0.03
5x4,0.02
3x5,0.02
8x1,0.01
1x6,0.01
2x6,0.01
8x0,0.01
4x5,0.01
0x6,0.01
6x4,0.01
7x3,0.01
9x0,0.01
9x2,0.0
7x5,0.0
5x5,0.0
8x2,0.0
10x0,0.0
3x6,0.0
8x3,0.0
9x1,0.0
7x4,0.0
6x6,0.0
10x1,0.0
