Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,11.73
Algeria x Jordan,1 x 1,10.4
Argentina x Algeria,1 x 1,11.76
Argentina x Austria,1 x 0,13.35
Argentina x Jordan,1 x 0,12.36
Australia x Türkiye,1 x 1,12.99
Austria x Jordan,1 x 1,11.11
Belgium x Egypt,1 x 1,12.73
Belgium x Iran,1 x 1,9.88
Belgium x New Zealand,1 x 0,12.51
Bosnia & Herzegovina x Qatar,1 x 1,10.51
Bosnia & Herzegovina x Switzerland,1 x 2,9.64
Brazil x Haiti,1 x 1,10.86
Brazil x Morocco,1 x 1,11.85
Brazil x Scotland,1 x 1,10.69
Cabo Verde x Saudi Arabia,1 x 1,12.31
Cabo Verde x Uruguay,1 x 1,12.56
Canada x Bosnia & Herzegovina,1 x 1,10.3
Canada x Qatar,2 x 1,10.17
Canada x Switzerland,1 x 1,10.54
Croatia x Ghana,1 x 1,10.28
Croatia x Panama,1 x 1,9.13
Curaçao x Côte d'Ivoire,1 x 1,11.68
Curaçao x Ecuador,1 x 1,13.68
Côte d'Ivoire x Ecuador,1 x 0,14.87
DR Congo x Colombia,1 x 1,13.22
DR Congo x Uzbekistan,1 x 1,12.78
Egypt x Iran,1 x 1,11.29
Egypt x New Zealand,1 x 0,14.51
England x Croatia,1 x 1,11.84
England x Ghana,1 x 0,12.77
England x Panama,1 x 0,11.59
France x Iraq,1 x 1,10.18
France x Norway,1 x 1,10.64
France x Senegal,1 x 1,11.59
Germany x Curaçao,1 x 1,10.44
Germany x Côte d'Ivoire,1 x 1,11.6
Germany x Ecuador,1 x 0,13.56
Ghana x Panama,1 x 1,11.43
Haiti x Scotland,1 x 1,11.08
Iran x New Zealand,2 x 1,9.97
Iraq x Norway,1 x 1,10.24
Japan x Sweden,2 x 0,10.05
Japan x Tunisia,1 x 0,13.67
Mexico x Czechia,1 x 1,11.83
Mexico x South Africa,1 x 0,13.32
Mexico x South Korea,1 x 1,13.31
Morocco x Haiti,1 x 0,11.33
Morocco x Scotland,1 x 0,13.18
Netherlands x Japan,1 x 1,10.84
Netherlands x Sweden,2 x 1,9.17
Netherlands x Tunisia,1 x 1,11.69
Paraguay x Australia,0 x 1,16.61
Paraguay x Türkiye,1 x 1,12.84
Portugal x Colombia,1 x 1,11.06
Portugal x DR Congo,1 x 1,11.18
Portugal x Uzbekistan,1 x 1,9.3
Qatar x Switzerland,1 x 2,10.1
Saudi Arabia x Uruguay,0 x 1,14.77
Senegal x Iraq,1 x 1,11.81
Senegal x Norway,1 x 1,11.21
South Africa x Czechia,1 x 1,11.13
South Africa x South Korea,1 x 1,12.4
South Korea x Czechia,1 x 1,10.91
Spain x Cabo Verde,2 x 1,9.53
Spain x Saudi Arabia,2 x 0,9.92
Spain x Uruguay,1 x 1,11.06
Sweden x Tunisia,1 x 1,11.16
USA x Australia,1 x 1,12.49
USA x Paraguay,1 x 0,12.01
USA x Türkiye,1 x 1,9.94
Uzbekistan x Colombia,1 x 1,12.01
