Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,57.66,24.78,11.8,5.76,92.16,6.08
Japan,49.87,27.64,15.26,7.23,89.0,5.74
England,47.4,27.85,16.49,8.26,87.8,5.6
Morocco,46.52,27.78,17.21,8.49,87.75,5.53
Argentina,46.16,28.25,17.48,8.11,87.73,5.52
Switzerland,40.62,29.13,19.29,10.96,84.0,5.27
Belgium,37.07,30.08,22.13,10.72,83.63,5.13
Canada,36.0,30.66,20.13,13.21,81.14,5.03
Iran,34.02,29.5,24.23,12.25,81.13,4.93
Croatia,30.52,31.95,23.14,14.39,78.73,4.75
Portugal,35.16,26.89,21.27,16.68,77.73,4.77
Norway,32.21,27.21,24.19,16.39,77.1,4.69
Germany,33.34,27.07,22.48,17.11,76.48,4.66
Netherlands,27.99,31.41,24.32,16.28,76.32,4.59
USA,33.98,27.09,21.38,17.55,76.26,4.67
Côte d'Ivoire,32.26,26.77,23.4,17.57,75.63,4.62
France,29.71,28.48,24.34,17.47,75.33,4.58
Brazil,27.66,30.43,24.78,17.13,75.27,4.53
Mexico,31.63,27.39,22.79,18.19,75.18,4.6
Senegal,28.59,27.92,25.99,17.5,74.96,4.54
Australia,30.91,27.52,23.55,18.02,74.92,4.57
Egypt,24.02,29.42,29.53,17.03,74.02,4.39
South Korea,30.43,27.14,22.91,19.52,73.96,4.5
Austria,25.7,29.07,26.08,19.15,72.63,4.37
Uruguay,22.02,32.59,26.68,18.71,71.75,4.3
Colombia,26.97,26.69,24.58,21.76,70.37,4.31
Algeria,19.94,25.95,28.9,25.21,65.02,3.91
Ecuador,19.57,25.74,28.26,26.43,63.95,3.85
Türkiye,21.92,24.49,26.73,26.86,63.94,3.92
Uzbekistan,20.84,24.42,26.83,27.91,63.21,3.87
South Africa,18.96,23.5,27.23,30.31,60.71,3.7
Haiti,16.2,23.63,30.3,29.87,59.4,3.62
Czechia,18.98,21.97,27.07,31.98,58.63,3.62
Tunisia,13.51,24.01,31.93,30.55,57.69,3.49
DR Congo,17.03,22.0,27.32,33.65,56.9,3.54
Cabo Verde,12.73,23.98,31.67,31.62,55.45,3.43
Panama,13.2,22.21,30.75,33.84,54.05,3.35
Paraguay,13.19,20.9,28.34,37.57,52.05,3.26
Bosnia & Herzegovina,12.25,20.44,30.25,37.06,51.71,3.24
Curaçao,14.83,20.42,25.86,38.89,51.24,3.27
Qatar,11.13,19.77,30.33,38.77,49.22,3.12
Scotland,9.62,18.16,27.71,44.51,44.59,2.89
Ghana,8.88,17.99,29.62,43.51,44.52,2.88
Saudi Arabia,7.59,18.65,29.85,43.91,42.7,2.79
Sweden,8.63,16.94,28.49,45.94,42.39,2.8
Iraq,9.49,16.39,25.48,48.64,41.51,2.78
Jordan,8.2,16.73,27.54,47.53,41.14,2.73
New Zealand,4.89,11.0,24.11,60.0,29.0,2.17
