Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),24336,2.43
Erling Haaland (Norway),22283,2.23
Harry Kane (England),21721,2.17
Mehdi Taremi (Iran),20703,2.07
Jonathan David (Canada),18042,1.8
Cristiano Ronaldo (Portugal),14973,1.5
Mikel Oyarzabal (Spain),14153,1.42
Andrej Kramarić (Croatia),14238,1.42
Mohamed Salah (Egypt),13234,1.32
Jordan Ayew (Ghana),13148,1.31
Viktor Gyökeres (Sweden),12949,1.29
Edin Džeko (Bosnia & Herzegovina),12690,1.27
Romelu Lukaku (Belgium),12646,1.26
Son Heung-min (South Korea),12456,1.25
Sadio Mané (Senegal),12437,1.24
Breel Embolo (Switzerland),12167,1.22
Aymen Hussein (Iraq),12219,1.22
Brahim Díaz (Morocco),12129,1.21
Kai Havertz (Germany),11710,1.17
Ayase Ueda (Japan),11746,1.17
Frantzdy Pierrot (Haiti),11638,1.16
Duckens Nazon (Haiti),11375,1.14
Luis Díaz (Colombia),11354,1.14
Ali Olwan (Jordan),11225,1.12
Mohammad Mohebi (Iran),11113,1.11
Almoez Ali (Qatar),11015,1.1
Lionel Messi (Argentina),11004,1.1
Lautaro Martínez (Argentina),10575,1.06
Raúl Jiménez (Mexico),10650,1.06
Memphis Depay (Netherlands),10433,1.04
