Jogador,Assists_Simuladas,Assists_Medias_Torneio
Junya Ito (Japan),14483,1.45
Takefusa Kubo (Japan),14241,1.42
Achraf Hakimi (Morocco),12953,1.3
Lamine Yamal (Spain),12326,1.23
Salem Al-Dawsari (Saudi Arabia),12029,1.2
Akram Afif (Qatar),11943,1.19
James Rodríguez (Colombia),11653,1.17
Ivan Perišić (Croatia),11483,1.15
Ali Abdi (Tunisia),11521,1.15
Saman Ghoddos (Iran),10558,1.06
Jordan Ayew (Ghana),10279,1.03
Denzel Dumfries (Netherlands),10070,1.01
Mehdi Taremi (Iran),9767,0.98
Ali Jasim (Iraq),9283,0.93
Declan Rice (England),9331,0.93
Joshua Kimmich (Germany),9196,0.92
Kang-in Lee (South Korea),8845,0.88
Mikel Oyarzabal (Spain),8828,0.88
Marc Guéhi (England),8683,0.87
Bruno Fernandes (Portugal),8688,0.87
Kylian Mbappé (France),8589,0.86
Oswin Appollis (South Africa),8499,0.85
Ali Ahmed (Canada),8319,0.83
Jordan Bos (Australia),8125,0.81
Connor Metcalfe (Australia),8061,0.81
Zizo (Egypt),8055,0.81
Rubén Vargas (Switzerland),7975,0.8
Jérémy Doku (Belgium),7900,0.79
Mahmoud Al-Mardi (Jordan),7852,0.79
Julian Ryerson (Norway),7795,0.78
