Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,1 x 1,12.58
Algeria x Jordan,1 x 1,10.31
Argentina x Algeria,1 x 0,17.84
Argentina x Austria,1 x 0,20.58
Argentina x Jordan,2 x 0,17.05
Australia x Türkiye,1 x 0,14.96
Austria x Jordan,1 x 0,12.22
Belgium x Egypt,1 x 0,13.95
Belgium x Iran,1 x 1,9.93
Belgium x New Zealand,2 x 0,15.76
Bosnia & Herzegovina x Qatar,1 x 1,9.73
Bosnia & Herzegovina x Switzerland,1 x 2,9.24
Brazil x Haiti,1 x 1,10.11
Brazil x Morocco,0 x 1,15.55
Brazil x Scotland,1 x 0,10.51
Cabo Verde x Saudi Arabia,1 x 1,12.78
Cabo Verde x Uruguay,0 x 1,14.47
Canada x Bosnia & Herzegovina,2 x 1,10.11
Canada x Qatar,2 x 1,9.93
Canada x Switzerland,1 x 1,10.42
Croatia x Ghana,2 x 0,10.64
Croatia x Panama,2 x 1,10.04
Curaçao x Côte d'Ivoire,0 x 1,11.7
Curaçao x Ecuador,0 x 1,17.75
Côte d'Ivoire x Ecuador,0 x 0,25.59
DR Congo x Colombia,0 x 1,15.92
DR Congo x Uzbekistan,1 x 1,13.01
Egypt x Iran,1 x 1,11.86
Egypt x New Zealand,1 x 0,17.71
England x Croatia,1 x 0,13.72
England x Ghana,1 x 0,17.74
England x Panama,2 x 0,14.34
France x Iraq,2 x 1,9.78
France x Norway,1 x 1,10.11
France x Senegal,1 x 1,12.46
Germany x Curaçao,2 x 1,10.18
Germany x Côte d'Ivoire,1 x 1,12.89
Germany x Ecuador,0 x 0,17.75
Ghana x Panama,1 x 1,12.55
Haiti x Scotland,1 x 1,10.96
Iran x New Zealand,2 x 0,12.22
Iraq x Norway,1 x 2,10.24
Japan x Sweden,2 x 0,13.16
Japan x Tunisia,1 x 0,18.46
Mexico x Czechia,1 x 0,13.81
Mexico x South Africa,1 x 0,16.38
Mexico x South Korea,0 x 0,15.37
Morocco x Haiti,1 x 0,15.35
Morocco x Scotland,1 x 0,16.66
Netherlands x Japan,0 x 1,12.23
Netherlands x Sweden,2 x 1,9.06
Netherlands x Tunisia,1 x 1,11.59
Paraguay x Australia,0 x 0,23.08
Paraguay x Türkiye,0 x 1,15.76
Portugal x Colombia,1 x 1,10.98
Portugal x DR Congo,1 x 1,11.65
Portugal x Uzbekistan,1 x 1,9.54
Qatar x Switzerland,1 x 2,9.78
Saudi Arabia x Uruguay,0 x 1,20.08
Senegal x Iraq,1 x 0,14.05
Senegal x Norway,1 x 1,12.6
South Africa x Czechia,1 x 1,12.37
South Africa x South Korea,0 x 1,14.09
South Korea x Czechia,1 x 1,11.57
Spain x Cabo Verde,2 x 1,8.21
Spain x Saudi Arabia,2 x 0,11.96
Spain x Uruguay,1 x 0,11.31
Sweden x Tunisia,1 x 1,12.21
USA x Australia,1 x 1,12.75
USA x Paraguay,1 x 0,15.17
USA x Türkiye,1 x 1,9.73
Uzbekistan x Colombia,1 x 1,12.51
