Seleção,Chance 1º (%),Chance 2º (%),Chance 3º (%),Chance 4º (%),Chance Classificação (Top2 + Melhores 3ºs) (%),Média Pontos
Spain,68.51,22.31,6.91,2.27,96.7,6.72
Japan,64.24,25.02,8.55,2.19,96.3,6.62
Argentina,61.9,25.24,10.11,2.75,95.6,6.4
England,61.49,26.56,9.16,2.79,95.51,6.47
Morocco,59.76,26.82,10.32,3.1,95.15,6.36
Switzerland,50.43,30.11,13.91,5.55,91.75,5.92
Belgium,43.1,31.59,20.47,4.84,90.7,5.66
Iran,33.48,32.98,26.71,6.83,86.77,5.13
Canada,35.19,35.31,20.03,9.47,85.57,5.23
Croatia,26.84,40.66,21.9,10.6,83.33,4.9
Norway,34.33,29.49,24.25,11.93,82.1,4.95
Australia,37.73,28.84,20.67,12.76,82.0,4.96
Senegal,32.27,30.14,25.55,12.04,81.24,4.9
Netherlands,23.82,39.58,24.42,12.18,80.81,4.69
Côte d'Ivoire,34.85,29.52,21.69,13.94,80.54,4.8
Brazil,24.83,36.99,25.42,12.76,79.78,4.65
South Korea,35.14,27.71,21.8,15.35,79.22,4.79
Portugal,37.32,27.07,19.87,15.74,79.13,4.85
Germany,35.6,26.79,22.1,15.51,78.79,4.73
Uruguay,21.05,41.36,25.44,12.15,78.72,4.6
Mexico,32.93,28.82,22.99,15.26,78.59,4.71
Egypt,22.25,30.29,36.17,11.29,78.45,4.52
France,29.12,29.58,26.53,14.77,78.03,4.64
Austria,21.05,36.74,28.53,13.68,77.87,4.45
USA,30.86,27.76,23.23,18.15,75.34,4.5
Colombia,30.15,28.05,22.99,18.81,74.72,4.53
Ecuador,19.91,27.52,30.47,22.1,68.44,4.0
Türkiye,20.89,24.87,28.07,26.17,64.48,3.84
Algeria,13.16,26.9,36.1,23.84,63.36,3.65
Uzbekistan,17.75,23.48,27.71,31.06,60.29,3.64
South Africa,17.29,23.19,27.46,32.06,59.25,3.57
DR Congo,14.78,21.4,29.43,34.39,56.57,3.41
Haiti,10.99,23.27,35.77,29.97,56.56,3.36
Tunisia,8.61,23.26,38.64,29.49,55.43,3.24
Czechia,14.64,20.28,27.75,37.33,53.56,3.27
Cabo Verde,7.17,22.66,36.96,33.21,50.61,3.09
Panama,7.78,19.68,37.5,35.04,49.43,3.02
Paraguay,10.52,18.53,28.03,42.92,46.89,2.97
Bosnia & Herzegovina,7.61,17.54,33.63,41.22,45.11,2.84
Qatar,6.77,17.04,32.43,43.76,43.48,2.77
Curaçao,9.64,16.17,25.74,48.45,41.86,2.72
Ghana,3.89,13.1,31.44,51.57,33.81,2.3
Scotland,4.42,12.92,28.49,54.17,33.1,2.28
Saudi Arabia,3.27,13.67,30.69,52.37,32.4,2.25
Sweden,3.33,12.14,28.39,56.14,30.22,2.15
Iraq,4.28,10.79,23.67,61.26,29.14,2.13
Jordan,3.89,11.12,25.26,59.73,28.6,2.06
New Zealand,1.17,5.14,16.65,77.04,14.7,1.4
