Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),23607,2.36
Harry Kane (England),23182,2.32
Erling Haaland (Norway),22663,2.27
Mehdi Taremi (Iran),21823,2.18
Jonathan David (Canada),18833,1.88
Mikel Oyarzabal (Spain),15736,1.57
Cristiano Ronaldo (Portugal),14489,1.45
Andrej Kramarić (Croatia),14344,1.43
Breel Embolo (Switzerland),14148,1.41
Romelu Lukaku (Belgium),13130,1.31
Ayase Ueda (Japan),12550,1.25
Mohamed Salah (Egypt),12507,1.25
Brahim Díaz (Morocco),12465,1.25
Sadio Mané (Senegal),12231,1.22
Edin Džeko (Bosnia & Herzegovina),12249,1.22
Son Heung-min (South Korea),11837,1.18
Mohammad Mohebi (Iran),11507,1.15
Kevin De Bruyne (Belgium),10997,1.1
Kai Havertz (Germany),11001,1.1
Lionel Messi (Argentina),10876,1.09
Viktor Gyökeres (Sweden),10895,1.09
Ayoub El Kaabi (Morocco),10700,1.07
Luis Díaz (Colombia),10707,1.07
Memphis Depay (Netherlands),10591,1.06
Almoez Ali (Qatar),10606,1.06
Duckens Nazon (Haiti),10469,1.05
Frantzdy Pierrot (Haiti),10484,1.05
Lautaro Martínez (Argentina),10449,1.04
Jordan Ayew (Ghana),10450,1.04
Dani Olmo (Spain),10061,1.01
