Jogador,Probabilidade de Dar Assistência (%)
Matheus Cunha (Brazil),30.72
Zizo (Egypt),19.43
Vinícius Júnior (Brazil),15.27
Luiz Henrique (Brazil),14.28
Endrick (Brazil),13.66
Bruno Guimarães (Brazil),12.34
Raphinha (Brazil),10.77
Mohamed Salah (Egypt),8.51
Mahmoud Trézéguet (Egypt),7.19
Casemiro (Brazil),5.96
Marwan Attia (Egypt),5.72
Mohamed Hany (Egypt),5.72
Ibrahim Adel (Egypt),4.05
Igor Thiago (Brazil),3.7
Douglas Santos (Brazil),3.62
Hamdy Fathy (Egypt),3.22
Bremer (Brazil),2.86
Danilo (Brazil),2.85
Danilo Oliveira (Brazil),2.85
Alex Sandro (Brazil),2.84
Fabinho (Brazil),2.78
Léo Pereira (Brazil),2.78
Weverton (Brazil),2.75
Rayan (Brazil),2.74
Gabriel Martinelli (Brazil),2.67
Ahmed Fatouh (Egypt),2.35
Rami Rabia (Egypt),1.64
Marquinhos (Brazil),0.8
Mohamed Alaa (Egypt),0.79
Hossam Abdelmaguid (Egypt),0.78
